run_seed,variant_name,layer_index,probe_name,diagnostic_family,exactness_mean,curl_energy_mean,exactness_positional_mean,curl_energy_positional_mean
13,pretrained,0,exact_r1,probe,1.0,2.729832258129322e-15,0.9989754545191923,0.006147260802713895
13,pretrained,0,exact_r2,probe,1.0,3.255981949265859e-15,0.9991178645028008,0.005292831585393287
13,pretrained,0,exact_r4,probe,1.0,3.2657197025194756e-15,0.9987659818596311,0.007404111736428199
13,pretrained,0,exact_r8,probe,1.0,3.3604105498526175e-15,0.9992941539320681,0.004235085368337523
13,pretrained,0,exact_r16,probe,1.0,3.2857297820341053e-15,0.9995598312881258,0.0026410153699948247
13,pretrained,0,exact_r64,probe,1.0,3.179814454439366e-15,0.9992701825168397,0.004378920385432947
13,pretrained,0,pairwise,probe,0.8004772377510866,1.1971365790814161,0.7789223686688476,1.326465775983201
13,pretrained,0,pairwise_plus_triadic,probe,0.7735585562056966,1.3586486420697637,0.7512892608841261,1.4922644446293514
13,pretrained,0,raw_projection_r4,raw_projection,1.0,3.0795912497832224e-15,0.9998919955558248,0.0006480164435439898
13,pretrained,0,raw_skew_bilinear_r8,raw_skew_bilinear,0.3171194526884291,4.097283270623949,0.3164420943293307,4.101347441474597
13,pretrained,1,exact_r1,probe,1.0,2.7572802326755003e-15,0.9988976154062483,0.006614299178990122
13,pretrained,1,exact_r2,probe,1.0,2.6652669955928354e-15,0.9991626499427689,0.0050241013846567106
13,pretrained,1,exact_r4,probe,1.0,2.8977901897561805e-15,0.9996157590713766,0.0023054479978681128
13,pretrained,1,exact_r8,probe,1.0,2.480550761318138e-15,0.9994613482720323,0.003231911302363086
13,pretrained,1,exact_r16,probe,1.0,3.0557785635036338e-15,0.9995286986231804,0.0028277914211179856
13,pretrained,1,exact_r64,probe,1.0,3.141842077704704e-15,0.9994473362134563,0.003315972439142772
13,pretrained,1,pairwise,probe,0.6955279087026914,1.826832534538375,0.6859009348683887,1.8845943903757467
13,pretrained,1,pairwise_plus_triadic,probe,0.6657107368939452,2.005735573669275,0.6550650956730047,2.0696093986431756
13,pretrained,1,raw_projection_r4,raw_projection,1.0,3.2546185001094713e-15,0.9997936259541247,0.00123824212318545
13,pretrained,1,raw_skew_bilinear_r8,raw_skew_bilinear,0.3441229524711768,3.9352622975905738,0.34410203082693946,3.9353878183497324
13,pretrained,2,exact_r1,probe,1.0,2.6575524884808057e-15,0.9999084737565782,0.0005491542880109693
13,pretrained,2,exact_r2,probe,1.0,2.8574786617328228e-15,0.99861957381169,0.008282562342679335
13,pretrained,2,exact_r4,probe,1.0,2.9189544946717812e-15,0.9988438578115569,0.006936837886718826
13,pretrained,2,exact_r8,probe,1.0,2.8959333896786775e-15,0.9993765205144882,0.003740886140601813
13,pretrained,2,exact_r16,probe,1.0,2.8030012202367803e-15,0.9992695881260766,0.004382465789805994
13,pretrained,2,exact_r64,probe,1.0,3.095633296704186e-15,0.9993915491633945,0.003650691208248544
13,pretrained,2,pairwise,probe,0.8532775421109464,0.8803347351236476,0.8395567201077938,0.9626596750070652
13,pretrained,2,pairwise_plus_triadic,probe,0.641801841970947,2.149188954383135,0.6408089349667231,2.155146383576923
13,pretrained,2,raw_projection_r4,raw_projection,1.0,3.0197850608745496e-15,0.9998450006047884,0.0009299956994558064
13,pretrained,2,raw_skew_bilinear_r8,raw_skew_bilinear,0.4423522936801116,3.3458862702051797,0.4422043123179012,3.346774129403962
13,pretrained,3,exact_r1,probe,1.0,1.9401241607776146e-15,0.9996837224397395,0.0018976728921794954
13,pretrained,3,exact_r2,probe,1.0,2.7939142140150536e-15,0.9994815968804889,0.0031104032322117644
13,pretrained,3,exact_r4,probe,1.0,2.984282261637167e-15,0.9995301076107554,0.0028193366492309403
13,pretrained,3,exact_r8,probe,1.0,2.4526652150406707e-15,0.9996740259230137,0.0019558495995523925
13,pretrained,3,exact_r16,probe,1.0,3.1326766474081905e-15,0.9994468229512373,0.00331907347329737
13,pretrained,3,exact_r64,probe,1.0,2.983592381241951e-15,0.9994890644318528,0.0030656255225444008
13,pretrained,3,pairwise,probe,0.699437815696001,1.8033730921645958,0.692312630928225,1.846124205324385
13,pretrained,3,pairwise_plus_triadic,probe,0.705101745410098,1.769389507257276,0.698425809542338,1.809445132397943
13,pretrained,3,raw_projection_r4,raw_projection,1.0,3.183027076884191e-15,0.9995026087595357,0.002984351452646984
13,pretrained,3,raw_skew_bilinear_r8,raw_skew_bilinear,0.5315371946328216,2.8107768297195435,0.5311760981049802,2.8129434171650143
13,pretrained,4,exact_r1,probe,1.0,3.0837259513546592e-15,0.9999667464031113,0.00019952671820849192
13,pretrained,4,exact_r2,probe,1.0,3.1342617000888603e-15,0.9992662076320913,0.004402761578805641
13,pretrained,4,exact_r4,probe,1.0,3.232726596097994e-15,0.9999291110369894,0.0004253414994713643
