run_seed,variant_name,delta_name,layer_count,delta_mean,delta_std,curl_mean,curl_std,pearson_r,spearman_r
7,pretrained,delta_pairwise_plus_triadic,25,0.026111111111111106,0.04470410260953077,2.1338342549734644,0.8202080684196871,-0.014182579533895566,-0.04931619818214955
7,pretrained,delta_triadic,25,0.014444444444444449,0.033420026154211,2.1338342549734644,0.8202080684196871,0.047897215417380026,0.05406493567612244
7,random_control,delta_pairwise_plus_triadic,25,0.0027777777777777744,0.035916945947182644,0.5763206777913082,0.5300360043331988,-0.6126088695896473,-0.6125675344944868
7,random_control,delta_triadic,25,-0.013888888888888902,0.05035719888381271,0.5763206777913082,0.5300360043331988,-0.7830845521998852,-0.7574804395742454
11,pretrained,delta_pairwise_plus_triadic,25,0.03250000000000001,0.062265506604838615,2.112901930457188,0.8351229644487213,-0.48934088898694705,-0.5371878950337903
11,pretrained,delta_triadic,25,0.03833333333333332,0.05923574475593366,2.112901930457188,0.8351229644487213,-0.5112066498033994,-0.6125996492938889
11,random_control,delta_pairwise_plus_triadic,25,0.004166666666666663,0.02939450254444514,0.4431133504418863,0.3795907159531558,-0.45544871059459197,-0.32566091374194917
11,random_control,delta_triadic,25,0.0022222222222222144,0.04194160831716462,0.4431133504418863,0.3795907159531558,0.4787764816470238,0.418597672795066
13,pretrained,delta_pairwise_plus_triadic,25,0.04333333333333334,0.07011481985260294,2.1079435323302946,0.8468561902328452,-0.3897070425537097,-0.40839976619592594
13,pretrained,delta_triadic,25,0.04555555555555555,0.07450000517855646,2.1079435323302946,0.8468561902328452,-0.1394305287027098,-0.17523605367700892
13,random_control,delta_pairwise_plus_triadic,25,0.021388888888888898,0.04142095762355905,0.5846217811355988,0.535736830900554,-0.018020207966932645,0.0405329882506862
13,random_control,delta_triadic,25,0.065,0.048935754578137314,0.5846217811355988,0.535736830900554,-0.471232651280943,-0.32169854965737565
17,pretrained,delta_pairwise_plus_triadic,25,0.04944444444444443,0.060351444147589285,2.1264141524293354,0.8170654104006978,-0.10267827686512164,-0.03658069441120486
17,pretrained,delta_triadic,25,0.041111111111111105,0.05809862393276331,2.1264141524293354,0.8170654104006978,-0.10841116284461867,-0.01040464359104185
17,random_control,delta_pairwise_plus_triadic,25,-0.006944444444444427,0.036472109390251695,0.376033023041673,0.34795607063743467,0.18185232977779567,0.07137379674385917
17,random_control,delta_triadic,25,0.0013888888888888996,0.040243839469244695,0.376033023041673,0.34795607063743467,-0.29600620896354785,-0.3478608896162371
19,pretrained,delta_pairwise_plus_triadic,25,0.05055555555555556,0.07634994798697094,2.1477535073003837,0.8174938999750675,-0.42583655135331716,-0.4513037207423615
19,pretrained,delta_triadic,25,0.04972222222222223,0.07889104880976373,2.1477535073003837,0.8174938999750675,-0.5289737718172419,-0.5819377518812318
19,random_control,delta_pairwise_plus_triadic,25,-0.016111111111111104,0.042889089785559026,0.4926299392602717,0.45115218467856394,-0.47947655930696037,-0.6234837395448671
19,random_control,delta_triadic,25,-0.02166666666666666,0.04577191451574004,0.4926299392602717,0.45115218467856394,-0.46427789271216324,-0.6665399480289179
