variant_name,layer_index,probe_name,probe_family,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact_r1,exact,1,1032,0.0,5,0.5558333333333333,0.016308654825650786,0.5041666666666667,0.04595942252159527,0.5319444444444444,0.029298643207956925
pretrained,0,exact_r16,exact,16,16482,0.0,5,0.5685,0.023945830070761363,0.5,0.051501378382608785,0.5416666666666666,0.021960261528947055
pretrained,0,exact_r2,exact,2,2062,0.0,5,0.5638333333333333,0.018741664813991307,0.5319444444444444,0.036615073129066866,0.5430555555555556,0.017291527219428792
pretrained,0,exact_r4,exact,4,4122,0.0,5,0.5681666666666667,0.021940576311685358,0.4847222222222222,0.057768428730792847,0.548611111111111,0.025983731852596812
pretrained,0,exact_r64,exact,64,65922,0.0,5,0.5655,0.019415057157897944,0.5013888888888889,0.03486083443891981,0.5291666666666667,0.012422599874998849
pretrained,0,exact_r8,exact,8,8242,0.0,5,0.564,0.016888112189742607,0.5027777777777778,0.04462852503627674,0.5361111111111111,0.01927005128543281
pretrained,0,pairwise,pairwise,64,533058,0.0,5,0.8223333333333334,0.01788660268344875,0.5013888888888889,0.03971105126526609,0.5291666666666667,0.022715871158050183
pretrained,0,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.7995,0.021711492092642757,0.5097222222222222,0.009316949906249124,0.5097222222222222,0.009316949906249124
pretrained,0,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9311666666666667,0.01590553712111326,0.49722222222222223,0.025797466140287086,0.5194444444444444,0.014231876063832784
pretrained,0,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.8503333333333333,0.012027168319175453,0.4888888888888889,0.02626065333498479,0.5194444444444445,0.01927005128543281
pretrained,0,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,0,triadic,triadic,87,534878,0.0,5,0.9216666666666666,0.009166666666666651,0.4986111111111111,0.05297841978544625,0.5375,0.03242393758313541
pretrained,1,exact_r1,exact,1,1032,0.0,5,0.5483333333333333,0.01780488384935125,0.49444444444444446,0.022715871158050172,0.5194444444444444,0.009054447785003698
pretrained,1,exact_r16,exact,16,16482,0.0,5,0.6058333333333333,0.011606990230986743,0.47777777777777775,0.02707442873558044,0.5277777777777778,0.01964185503295969
pretrained,1,exact_r2,exact,2,2062,0.0,5,0.5965,0.01303574146550765,0.4708333333333333,0.060020251212033075,0.5513888888888889,0.03694287799519555
pretrained,1,exact_r4,exact,4,4122,0.0,5,0.6045,0.014937369246289673,0.46944444444444444,0.049251731184714286,0.5472222222222222,0.028378912141253525
pretrained,1,exact_r64,exact,64,65922,0.0,5,0.5925,0.019293061504650363,0.5041666666666667,0.05210647633973352,0.5402777777777777,0.026625402100945567
pretrained,1,exact_r8,exact,8,8242,0.0,5,0.6056666666666667,0.00815219806759705,0.4666666666666667,0.03197462342561484,0.5416666666666667,0.015528249843748534
pretrained,1,pairwise,pairwise,64,533058,0.0,5,0.847,0.014548768561863473,0.5,0.01299186592629842,0.5083333333333333,0.009054447785003686
pretrained,1,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.807,0.006577529086890361,0.5166666666666666,0.0349299342776647,0.5277777777777778,0.024552318791199564
pretrained,1,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9391666666666667,0.010374916331657262,0.5055555555555555,0.04537863681306819,0.5388888888888889,0.014400306495366472
pretrained,1,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.8381666666666666,0.01659777428184609,0.5069444444444444,0.019641855032959663,0.5180555555555555,0.00621129993749945
pretrained,1,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,1,triadic,triadic,87,534878,0.0,5,0.9415,0.009653726971716414,0.49444444444444446,0.044574462599670024,0.5361111111111111,0.01988586258788386
pretrained,2,exact_r1,exact,1,1032,0.0,5,0.582,0.004880516821448754,0.5083333333333333,0.029216227733281447,0.525,0.012615209808739581
pretrained,2,exact_r16,exact,16,16482,0.0,5,0.6098333333333333,0.00613505410643532,0.4777777777777778,0.04895710203337381,0.5444444444444444,0.02334407821384946
pretrained,2,exact_r2,exact,2,2062,0.0,5,0.6086666666666667,0.0028625940062196194,0.48194444444444445,0.025797466140287103,0.5291666666666667,0.003105649968749697
pretrained,2,exact_r4,exact,4,4122,0.0,5,0.6135,0.01924260319649551,0.4847222222222222,0.031211395908672557,0.5263888888888889,0.01988586258788384
pretrained,2,exact_r64,exact,64,65922,0.0,5,0.5925,0.014517709491820328,0.48194444444444445,0.03694287799519552,0.5291666666666667,0.026625402100945588
pretrained,2,exact_r8,exact,8,8242,0.0,5,0.6088333333333333,0.01025033874778999,0.48055555555555557,0.01141088661469098,0.5194444444444445,0.01141088661469098
pretrained,2,pairwise,pairwise,64,533058,0.0,5,0.8413333333333333,0.022681367781605347,0.4638888888888889,0.03971105126526609,0.5388888888888889,0.03628430688225871
pretrained,2,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.8146666666666667,0.02549237358723411,0.49722222222222223,0.04212708580028639,0.5305555555555556,0.024845199749997684
pretrained,2,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9413333333333334,0.013675302149820637,0.4930555555555556,0.010980130764473527,0.5097222222222222,0.007917884896521763
pretrained,2,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.8385,0.008885850175044193,0.5180555555555555,0.028884214365396423,0.5263888888888889,0.019270051285432816
pretrained,2,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,2,triadic,triadic,87,534878,0.0,5,0.9385,0.009919817426635337,0.5041666666666667,0.02334407821384946,0.5180555555555555,0.012615209808739546
pretrained,3,exact_r1,exact,1,1032,0.0,5,0.5776666666666667,0.014876808946963199,0.5055555555555555,0.037203042322163545,0.5305555555555556,0.015987311712807428
pretrained,3,exact_r16,exact,16,16482,0.0,5,0.6136666666666667,0.0033644382063644156,0.43194444444444446,0.0334488738299786,0.5680555555555555,0.03344887382997863
pretrained,3,exact_r2,exact,2,2062,0.0,5,0.6113333333333333,0.010842944454549452,0.46944444444444444,0.044897860764568386,0.5388888888888889,0.03595049751540219
pretrained,3,exact_r4,exact,4,4122,0.0,5,0.622,0.004433145359423466,0.48333333333333334,0.04353452227404853,0.5388888888888889,0.01876285567514765
pretrained,3,exact_r64,exact,64,65922,0.0,5,0.6006666666666667,0.008648217542746391,0.475,0.04851180332381385,0.5361111111111111,0.03878955567713599
pretrained,3,exact_r8,exact,8,8242,0.0,5,0.6205,0.008198915917499213,0.4791666666666667,0.05196746370519363,0.5458333333333333,0.024845199749997687
pretrained,3,pairwise,pairwise,64,533058,0.0,5,0.8476666666666667,0.028009175084048613,0.4847222222222222,0.02570382711572463,0.5236111111111111,0.015987311712807453
pretrained,3,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.8385,0.015108404577879441,0.5194444444444444,0.05136072801972387,0.5388888888888889,0.034929934277664706
pretrained,3,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9438333333333333,0.012113468170227343,0.5111111111111111,0.0174304172194599,0.5166666666666666,0.01053177145007162
pretrained,3,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.8493333333333334,0.020644140949808383,0.5111111111111111,0.03352088440596437,0.5222222222222223,0.02570382711572465
pretrained,3,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,3,triadic,triadic,87,534878,0.0,5,0.9458333333333333,0.01110242716206185,0.5166666666666666,0.05347673141160681,0.5333333333333333,0.04263911509169097
pretrained,4,exact_r1,exact,1,1032,0.0,5,0.5941666666666666,0.013667682889047267,0.48333333333333334,0.04851180332381384,0.5388888888888889,0.028463752127665533
pretrained,4,exact_r16,exact,16,16482,0.0,5,0.6246666666666667,0.009693210682396881,0.4611111111111111,0.0406709735120731,0.5444444444444444,0.032793663758660004
pretrained,4,exact_r2,exact,2,2062,0.0,5,0.6156666666666667,0.01915216842959449,0.4652777777777778,0.034373246307679406,0.5347222222222222,0.03437324630767942
pretrained,4,exact_r4,exact,4,4122,0.0,5,0.6276666666666667,0.010839741694339421,0.4791666666666667,0.040789375432190064,0.5402777777777777,0.013357905598382923
