variant_name,delta_name,seed_count,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,delta_mean,curl_mean
pretrained,delta_pairwise_plus_triadic,5,-0.2843490678585982,0.21162163479955104,-0.29655765491308644,0.2361536963105922,0.04038888888888889,2.1257694754981333
pretrained,delta_triadic,5,-0.24802497955011793,0.25838514541183055,-0.26522263255340983,0.31462422096565607,0.03783333333333333,2.1257694754981333
random_control,delta_pairwise_plus_triadic,5,-0.2767404035360673,0.3402534603061664,-0.28996108055735154,0.33777802968109716,0.0010555555555555609,0.4945437543341476
random_control,delta_triadic,5,-0.30716496470190313,0.4732680547560431,-0.334996430816342,0.46277971066244017,0.006611111111111111,0.4945437543341476
