run_seed,variant_name,layer_index,probe_name,probe_family,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
17,pretrained,0,query_only,query_only,64,1538,0.5,0.5,0.5
17,pretrained,0,exact_r1,exact,1,776,0.5541666666666667,0.5069444444444444,0.5069444444444444
17,pretrained,0,exact_r2,exact,2,1550,0.5625,0.4652777777777778,0.5347222222222222
17,pretrained,0,exact_r4,exact,4,3098,0.585,0.4722222222222222,0.5277777777777778
17,pretrained,0,exact_r8,exact,8,6194,0.5858333333333333,0.4375,0.5625
17,pretrained,0,exact_r16,exact,16,12386,0.5875,0.4027777777777778,0.5972222222222222
17,pretrained,0,exact_r64,exact,64,49538,0.5875,0.4375,0.5625
17,pretrained,0,pairwise,pairwise,64,401986,0.8841666666666667,0.4236111111111111,0.5763888888888888
17,pretrained,0,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.845,0.5,0.5
17,pretrained,0,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.865,0.4652777777777778,0.5347222222222222
17,pretrained,0,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9583333333333334,0.5277777777777778,0.5277777777777778
17,pretrained,0,triadic,triadic,87,401246,0.9525,0.4583333333333333,0.5416666666666667
17,pretrained,1,query_only,query_only,64,1538,0.5,0.5,0.5
17,pretrained,1,exact_r1,exact,1,776,0.5566666666666666,0.4652777777777778,0.5347222222222222
17,pretrained,1,exact_r2,exact,2,1550,0.6066666666666667,0.4444444444444444,0.5555555555555556
17,pretrained,1,exact_r4,exact,4,3098,0.6183333333333333,0.4444444444444444,0.5555555555555556
17,pretrained,1,exact_r8,exact,8,6194,0.6166666666666667,0.4236111111111111,0.5763888888888888
17,pretrained,1,exact_r16,exact,16,12386,0.6175,0.4444444444444444,0.5555555555555556
17,pretrained,1,exact_r64,exact,64,49538,0.6083333333333333,0.4236111111111111,0.5763888888888888
17,pretrained,1,pairwise,pairwise,64,401986,0.8966666666666666,0.4722222222222222,0.5277777777777778
17,pretrained,1,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.8883333333333333,0.4305555555555556,0.5694444444444444
17,pretrained,1,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.9183333333333333,0.4930555555555556,0.5069444444444444
17,pretrained,1,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9833333333333333,0.4375,0.5625
17,pretrained,1,triadic,triadic,87,401246,0.9791666666666666,0.4583333333333333,0.5416666666666667
17,pretrained,2,query_only,query_only,64,1538,0.5,0.5,0.5
17,pretrained,2,exact_r1,exact,1,776,0.5741666666666667,0.5,0.5
17,pretrained,2,exact_r2,exact,2,1550,0.6225,0.4861111111111111,0.5138888888888888
17,pretrained,2,exact_r4,exact,4,3098,0.6216666666666667,0.4930555555555556,0.5069444444444444
17,pretrained,2,exact_r8,exact,8,6194,0.6216666666666667,0.4375,0.5625
17,pretrained,2,exact_r16,exact,16,12386,0.6291666666666667,0.4375,0.5625
17,pretrained,2,exact_r64,exact,64,49538,0.6183333333333333,0.3819444444444444,0.6180555555555556
17,pretrained,2,pairwise,pairwise,64,401986,0.9125,0.4722222222222222,0.5277777777777778
17,pretrained,2,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.8666666666666667,0.5069444444444444,0.5069444444444444
17,pretrained,2,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.8925,0.5069444444444444,0.5069444444444444
17,pretrained,2,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9858333333333333,0.4375,0.5625
17,pretrained,2,triadic,triadic,87,401246,0.9833333333333333,0.4513888888888889,0.5486111111111112
17,pretrained,3,query_only,query_only,64,1538,0.5,0.5,0.5
17,pretrained,3,exact_r1,exact,1,776,0.58,0.4444444444444444,0.5555555555555556
