variant_name,layer_index,probe_name,probe_family,group_type,group_name,run_count,example_count_mean,example_count_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact_r1,exact,query_direction_type,hidden_positive,2,72,0.0,0.4513888888888889,0.06874649261535878,0.5486111111111112,0.06874649261535878
pretrained,0,exact_r1,exact,query_direction_type,matched_negative,2,72,0.0,0.6041666666666667,0.14731391274719743,0.6041666666666667,0.14731391274719743
pretrained,0,exact_r1,exact,query_distance_type,visible_5,2,59,1.4142135623730951,0.55,0.07071067811865474,0.55,0.07071067811865474
pretrained,0,exact_r1,exact,query_distance_type,visible_6,2,44,5.656854249492381,0.51875,0.061871843353822925,0.54375,0.026516504294495518
pretrained,0,exact_r1,exact,query_distance_type,visible_7,2,41,4.242640687119285,0.5089712918660287,0.17339340926225147,0.6226076555023923,0.012687322628945199
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_5,2,29.5,0.7071067811865476,0.43850574712643675,0.1812469105800001,0.6281609195402299,0.08696600642179382
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_6,2,22,2.8284271247461903,0.45416666666666666,0.005892556509887875,0.5458333333333334,0.005892556509887875
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_7,2,20.5,2.1213203435596424,0.46411483253588515,0.013533144137541572,0.5358851674641149,0.013533144137541493
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_5,2,29.5,0.7071067811865476,0.6614942528735632,0.03982555434269066,0.6614942528735632,0.03982555434269066
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_6,2,22,2.8284271247461903,0.5833333333333333,0.11785113019775789,0.5833333333333333,0.11785113019775789
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_7,2,20.5,2.1213203435596424,0.5538277511961722,0.3332536743869614,0.7356459330143541,0.07612393577367135
pretrained,0,exact_r1,exact,relation_id,masked_balanced_triplet,2,144,0.0,0.5277777777777778,0.039283710065919325,0.5277777777777778,0.039283710065919325
pretrained,0,exact_r1,exact,template_family_id,balanced_align,2,69,4.242640687119285,0.538510101010101,0.07410336216980236,0.5523989898989898,0.05446150713684273
pretrained,0,exact_r1,exact,template_family_id,balanced_sync,2,75,4.242640687119285,0.5197649572649572,0.008310015590867595,0.5197649572649572,0.008310015590867595
pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_forward,2,34,11.313708498984761,0.48351648351648346,0.0777040418886316,0.554945054945055,0.023311212566589475
pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_reverse,2,35,7.0710678118654755,0.5958333333333333,0.041247895569215286,0.5958333333333333,0.041247895569215286
pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_forward,2,38,8.48528137423857,0.46875,0.04419417382415922,0.53125,0.04419417382415922
pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_reverse,2,37,12.727922061357855,0.5613354037267081,0.03623373257632935,0.5613354037267081,0.03623373257632935
