variant_name,layer_index,probe_name,diagnostic_family,run_count,exactness_mean,exactness_std,curl_energy_mean,curl_energy_std,exactness_positional_mean,exactness_positional_std,curl_energy_positional_mean,curl_energy_positional_std
pretrained,0,exact_r1,probe,2,1.0,0.0,2.7213537800833318e-15,1.1990378640922055e-17,0.9984391161964998,0.0007584969299721052,0.009365297940045519,0.004550991763834671
pretrained,0,exact_r16,probe,2,1.0,0.0,3.124946251213547e-15,2.2738224989266635e-16,0.9985292092379596,0.0014575196810257054,0.008824745594514145,0.008745115149571648
pretrained,0,exact_r2,probe,2,1.0,0.0,3.236671907602686e-15,2.7308522810049195e-17,0.9986343408624332,0.0006838056899359968,0.008193974860154817,0.0041028361655552495
pretrained,0,exact_r4,probe,2,1.0,0.0,3.2886875925941405e-15,3.248150164268583e-17,0.9985077054136329,0.0003652580527720764,0.008953765552077029,0.0021915414430737894
pretrained,0,exact_r64,probe,2,1.0,0.0,3.1782758176201352e-15,2.1759610573225996e-18,0.9988109939214256,0.0006493907393217594,0.0071340470086498605,0.0038963374366085468
pretrained,0,exact_r8,probe,2,1.0,0.0,3.291957569720643e-15,9.680713288749432e-17,0.9977319710370567,0.0022092602370323384,0.013608181621142043,0.013255559842144589
pretrained,0,pairwise,probe,2,0.8051298595964909,0.006579800914364056,1.1692208458359041,0.039478808559392405,0.7854250789516501,0.009196221074122395,1.2874495149072673,0.05517732556667492
pretrained,0,pairwise_plus_triadic,probe,2,0.7564882275958856,0.024141090234160105,1.4610706191096041,0.14484654901480812,0.7330901823523972,0.02573738368226399,1.6014589100248284,0.15442429389836326
pretrained,0,raw_projection_r4,raw_projection,2,1.0,0.0,3.1877428577054343e-15,1.5294947071604948e-16,0.9996978613651462,0.00027454720537799563,0.0018128280322950254,0.0016472923464210668
pretrained,0,raw_skew_bilinear_r8,raw_skew_bilinear,2,0.319305124382178,0.0030910065521946566,4.084169250395563,0.018546025264218488,0.31860958163936937,0.0030652899501282466,4.0883425085080995,0.0183917525789736
pretrained,1,exact_r1,probe,2,1.0,0.0,2.7993369847817825e-15,5.947722921806754e-17,0.9993642071882884,0.000659860426252884,0.003814757051966606,0.0039591504444714785
pretrained,1,exact_r16,probe,2,1.0,0.0,3.110357149106484e-15,7.718577597469214e-17,0.9992507938295603,0.0003930167281860549,0.004495223761801349,0.002358105430533928
pretrained,1,exact_r2,probe,2,1.0,0.0,2.9597105377575122e-15,4.1640605068246045e-16,0.9989733435213566,0.0002677197086056614,0.00615994098835573,0.0016063197722316351
pretrained,1,exact_r4,probe,2,1.0,0.0,2.9926616426932687e-15,1.3416849542567084e-16,0.9990254893071122,0.0008347675060814928,0.005847064988807283,0.0050086027813171655
pretrained,1,exact_r64,probe,2,1.0,0.0,3.1347083787225466e-15,1.008857385045432e-17,0.9993489128020074,0.00013919172332588933,0.003906510026556336,0.0008351462652113498
pretrained,1,exact_r8,probe,2,1.0,0.0,2.783446723863222e-15,4.283595782193108e-16,0.9990129232820537,0.0006341687025346011,0.005922457594553837,0.003805007056608803
pretrained,1,pairwise,probe,2,0.731902096213566,0.051440869298180786,1.6085874092661672,0.3086452160817713,0.7174684899962611,0.044643264592797494,1.6951890629198818,0.26785958287380146
pretrained,1,pairwise_plus_triadic,probe,2,0.65694341622293,0.012398863798623774,2.0583395194262266,0.07439321352381989,0.6485009890877538,0.009283048557724391,2.1089940646456347,0.05569832881021213
pretrained,1,raw_projection_r4,raw_projection,2,1.0,0.0,3.298635839968777e-15,6.224991900861585e-17,0.999568500245611,0.00031837583021906225,0.002588999547394148,0.0019102594687920888
pretrained,1,raw_skew_bilinear_r8,raw_skew_bilinear,2,0.3401482802712255,0.005621035331158421,3.959110308024618,0.03372617979144096,0.34020887004832423,0.005505760773616624,3.9587467710177107,0.033034547665885754
pretrained,2,exact_r1,probe,2,1.0,0.0,2.3852066344362632e-15,3.851552004458751e-16,0.9996606186032295,0.0003505201193697752,0.0020362809774370464,0.0021031147331533597
pretrained,2,exact_r16,probe,2,1.0,0.0,2.938979657732972e-15,1.923025504974163e-16,0.9991333902710013,0.0001926128538134475,0.005199646634638257,0.0011556682336732907
pretrained,2,exact_r2,probe,2,1.0,0.0,3.076419149423086e-15,3.096286070441497e-16,0.9982270619107617,0.0005550956536855909,0.010637625953273123,0.003330562898353085
pretrained,2,exact_r4,probe,2,1.0,0.0,2.9577610708303116e-15,5.488078631265803e-17,0.9989722952660587,0.00018163799007313183,0.006166225211927667,0.0010898108960262646
pretrained,2,exact_r64,probe,2,1.0,0.0,3.1123056020825836e-15,2.357820038215544e-17,0.9993645288050175,3.8212557276911486e-05,0.0038128126115124263,0.0002292742872467397
