variant_name,layer_index,probe_name,group_type,group_name,run_count,example_count_mean,example_count_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,triadic,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.15833333333333333,0.12638125740085918,0.8416666666666667,0.12638125740085915
pretrained,0,triadic,template_id,mixed_bc_inverse,5,24,0.0,0.2833333333333333,0.018633899812498255,0.7166666666666666,0.01863389981249828
pretrained,0,triadic,template_id,passive_forward,5,24,0.0,0.425,0.15422296269434788,0.6416666666666667,0.07569125885243731
pretrained,1,exact,template_family_id,above,5,24,0.0,0.5083333333333333,0.034860834438919804,0.525,0.02282177322938192
pretrained,1,exact,template_family_id,active,5,24,0.0,0.575,0.05432668671002208,0.575,0.05432668671002208
pretrained,1,exact,template_family_id,below,5,24,0.0,0.6166666666666667,0.136295226948301,0.65,0.08640183897219883
pretrained,1,exact,template_family_id,mixed_ab_inverse,5,24,0.0,0.6083333333333333,0.1304372986874877,0.6416666666666666,0.08122328620674138
pretrained,1,exact,template_family_id,mixed_bc_inverse,5,24,0.0,0.65,0.06319062870042957,0.65,0.06319062870042957
pretrained,1,exact,template_family_id,passive,5,24,0.0,0.7416666666666667,0.13944333775567927,0.7416666666666667,0.13944333775567927
pretrained,1,exact,template_id,above_reverse,5,24,0.0,0.5083333333333333,0.034860834438919804,0.525,0.02282177322938192
pretrained,1,exact,template_id,active_reverse,5,24,0.0,0.575,0.05432668671002208,0.575,0.05432668671002208
pretrained,1,exact,template_id,below_forward,5,24,0.0,0.6166666666666667,0.136295226948301,0.65,0.08640183897219883
pretrained,1,exact,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.6083333333333333,0.1304372986874877,0.6416666666666666,0.08122328620674138
pretrained,1,exact,template_id,mixed_bc_inverse,5,24,0.0,0.65,0.06319062870042957,0.65,0.06319062870042957
pretrained,1,exact,template_id,passive_forward,5,24,0.0,0.7416666666666667,0.13944333775567927,0.7416666666666667,0.13944333775567927
pretrained,1,pairwise,template_family_id,above,5,24,0.0,0.48333333333333334,0.1337233877990101,0.6,0.07569125885243727
pretrained,1,pairwise,template_family_id,active,5,24,0.0,0.6083333333333334,0.08122328620674137,0.6083333333333334,0.08122328620674137
pretrained,1,pairwise,template_family_id,below,5,24,0.0,0.5416666666666666,0.10622957319984967,0.5916666666666667,0.054326686710022075
pretrained,1,pairwise,template_family_id,mixed_ab_inverse,5,24,0.0,0.55,0.054326686710022096,0.5666666666666667,0.02282177322938193
pretrained,1,pairwise,template_family_id,mixed_bc_inverse,5,24,0.0,0.5416666666666666,0.08838834764831843,0.575,0.054326686710022075
pretrained,1,pairwise,template_family_id,passive,5,24,0.0,0.675,0.16509677296799125,0.6916666666666667,0.14006446928309674
pretrained,1,pairwise,template_id,above_reverse,5,24,0.0,0.48333333333333334,0.1337233877990101,0.6,0.07569125885243727
pretrained,1,pairwise,template_id,active_reverse,5,24,0.0,0.6083333333333334,0.08122328620674137,0.6083333333333334,0.08122328620674137
pretrained,1,pairwise,template_id,below_forward,5,24,0.0,0.5416666666666666,0.10622957319984967,0.5916666666666667,0.054326686710022075
pretrained,1,pairwise,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.55,0.054326686710022096,0.5666666666666667,0.02282177322938193
pretrained,1,pairwise,template_id,mixed_bc_inverse,5,24,0.0,0.5416666666666666,0.08838834764831843,0.575,0.054326686710022075
pretrained,1,pairwise,template_id,passive_forward,5,24,0.0,0.675,0.16509677296799125,0.6916666666666667,0.14006446928309674
pretrained,1,query_only,template_family_id,above,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_family_id,active,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_family_id,below,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_family_id,mixed_ab_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_family_id,mixed_bc_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_family_id,passive,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_id,above_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_id,active_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_id,below_forward,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_id,mixed_bc_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,query_only,template_id,passive_forward,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,1,triadic,template_family_id,above,5,24,0.0,0.5916666666666667,0.08014743359029729,0.5916666666666667,0.08014743359029729
pretrained,1,triadic,template_family_id,active,5,24,0.0,0.5666666666666667,0.09592387027684447,0.6,0.04750730937913075
pretrained,1,triadic,template_family_id,below,5,24,0.0,0.49166666666666664,0.13629522694830104,0.5916666666666667,0.09033118078616163
pretrained,1,triadic,template_family_id,mixed_ab_inverse,5,24,0.0,0.2833333333333333,0.10785149254620655,0.7166666666666667,0.10785149254620656
pretrained,1,triadic,template_family_id,mixed_bc_inverse,5,24,0.0,0.4083333333333333,0.05432668671002207,0.5916666666666667,0.05432668671002207
pretrained,1,triadic,template_family_id,passive,5,24,0.0,0.55,0.12638125740085918,0.6,0.08122328620674138
pretrained,1,triadic,template_id,above_reverse,5,24,0.0,0.5916666666666667,0.08014743359029729,0.5916666666666667,0.08014743359029729
pretrained,1,triadic,template_id,active_reverse,5,24,0.0,0.5666666666666667,0.09592387027684447,0.6,0.04750730937913075
pretrained,1,triadic,template_id,below_forward,5,24,0.0,0.49166666666666664,0.13629522694830104,0.5916666666666667,0.09033118078616163
pretrained,1,triadic,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.2833333333333333,0.10785149254620655,0.7166666666666667,0.10785149254620656
pretrained,1,triadic,template_id,mixed_bc_inverse,5,24,0.0,0.4083333333333333,0.05432668671002207,0.5916666666666667,0.05432668671002207
pretrained,1,triadic,template_id,passive_forward,5,24,0.0,0.55,0.12638125740085918,0.6,0.08122328620674138
