run_seed,variant_name,layer_index,probe_name,exactness_mean,curl_energy_mean,exactness_positional_mean,curl_energy_positional_mean
7,pretrained,0,exact,1.0,7.941791889223959e-16,1.0,1.6957182602064334e-15
7,pretrained,0,pairwise,0.8564090761873457,0.4307727612192846,0.886594264043702,0.34021720963452634
7,pretrained,1,exact,1.0,7.636268298127595e-16,1.0,1.595328397268424e-15
7,pretrained,1,pairwise,0.8939770865771506,0.31806874761564863,0.8968999170594745,0.3093002537077862
7,pretrained,2,exact,1.0,8.129596712577284e-16,1.0,1.7595866807612031e-15
7,pretrained,2,pairwise,0.9389780283802085,0.18306591130062266,0.9500337863961855,0.14989864642201509
7,pretrained,3,exact,1.0,8.266803660705085e-16,1.0,1.7040985700025451e-15
7,pretrained,3,pairwise,0.9549926684962379,0.13502199360098327,0.9632734983331628,0.11017950358412539
7,pretrained,4,exact,1.0,6.731097920130425e-16,1.0,1.6189767660034625e-15
7,pretrained,4,pairwise,0.9608618273503251,0.11741451149120824,0.9640751497613059,0.107774544200058
7,pretrained,5,exact,1.0,7.950012127071923e-16,1.0,1.740408366277899e-15
7,pretrained,5,pairwise,0.9694449346926477,0.09166519706195686,0.9728036986456977,0.08158890697571526
7,pretrained,6,exact,1.0,7.878116455788272e-16,1.0,1.7665201277726855e-15
7,pretrained,6,pairwise,0.9773205796049701,0.06803825542253132,0.9783063079747889,0.06508107355491827
7,pretrained,7,exact,1.0,7.330386847559179e-16,1.0,1.8123628864990507e-15
7,pretrained,7,pairwise,0.9700460334618887,0.08986189382267185,0.9734839118189282,0.07954826129490458
7,pretrained,8,exact,1.0,7.691951661377304e-16,1.0,1.8579060253344804e-15
7,pretrained,8,pairwise,0.962476366923915,0.11257090088070577,0.9646455835964944,0.10606325355022111
7,pretrained,9,exact,1.0,7.5260300922997e-16,1.0,1.7705281887850551e-15
7,pretrained,9,pairwise,0.9673084376586808,0.09807468589860946,0.9756169372962581,0.07314918943706693
7,pretrained,10,exact,1.0,7.953411641785259e-16,1.0,1.6870391922577665e-15
7,pretrained,10,pairwise,0.9738853631748093,0.07834392610513735,0.978776534812318,0.06367039728098058
7,pretrained,11,exact,1.0,7.500674640788398e-16,1.0,1.669659485695872e-15
7,pretrained,11,pairwise,0.9812840306096606,0.05614790574691142,0.9860008305145634,0.04199751118681484
7,pretrained,12,exact,1.0,7.427748649877361e-16,1.0,1.7800658143289063e-15
7,pretrained,12,pairwise,0.9533212263551023,0.14003631819893295,0.9655559187134107,0.10333224733929253
7,random_control,0,exact,1.0,7.798566942956578e-16,1.0,1.9885814752009507e-15
7,random_control,0,pairwise,0.9564184658229351,0.13074460399932125,0.942870855745342,0.1713874252810557
7,random_control,1,exact,1.0,7.26780191803361e-16,1.0,1.946026267880382e-15
7,random_control,1,pairwise,0.9563509209288491,0.1309472341381479,0.9548609741032124,0.13541707953360552
7,random_control,2,exact,1.0,6.672145547371711e-16,1.0,2.0632809086257117e-15
7,random_control,2,pairwise,0.944176202846898,0.16747138863946828,0.9156243407891856,0.253126973072843
7,random_control,3,exact,1.0,7.266218230660495e-16,1.0,1.8638667818404017e-15
7,random_control,3,pairwise,0.9630782223410077,0.11076533934748214,0.9668787647452619,0.09936371080887814
7,random_control,4,exact,1.0,7.220831480246037e-16,1.0,1.8591738623382242e-15
7,random_control,4,pairwise,0.9602124968336688,0.11936250865174872,0.9509835069378217,0.14704947993029943
7,random_control,5,exact,1.0,6.801584025100361e-16,1.0,1.830884489794431e-15
7,random_control,5,pairwise,0.92421964638763,0.22734106301019588,0.9247779303954707,0.22566621145233512
7,random_control,6,exact,1.0,6.592917203037364e-16,1.0,1.7709026163171393e-15
7,random_control,6,pairwise,0.9571271381444402,0.12861857853810457,0.959666425983111,0.12100072175316098
7,random_control,7,exact,1.0,7.279415368857277e-16,1.0,1.7092873651648852e-15
7,random_control,7,pairwise,0.9623882087568442,0.11283537092903215,0.9613656707935863,0.11590299190397167
7,random_control,8,exact,1.0,7.355571368630524e-16,1.0,1.7954194658736264e-15
7,random_control,8,pairwise,0.968839094042778,0.09348271449238786,0.9652535551124148,0.10423934377225426
7,random_control,9,exact,1.0,7.214966317510967e-16,1.0,1.7327006164502476e-15
7,random_control,9,pairwise,0.9483335924645265,0.15499922557824497,0.9424159899353981,0.17275203125771238
7,random_control,10,exact,1.0,7.055490709601908e-16,1.0,1.674567434658459e-15
7,random_control,10,pairwise,0.9695228098167313,0.09143158220265629,0.9675377959178554,0.09738661241782312
7,random_control,11,exact,1.0,6.859036758010278e-16,1.0,1.7164905638621095e-15
7,random_control,11,pairwise,0.9677176144387987,0.09684715579351177,0.9657615460455418,0.1027153706139264
7,random_control,12,exact,1.0,7.562952783270659e-16,1.0,1.7109135570299578e-15
7,random_control,12,pairwise,0.9651715229782794,0.10448543889894306,0.9614228846298324,0.11573134762390207
11,pretrained,0,exact,1.0,7.992134354972658e-16,1.0,1.8850784441327967e-15
11,pretrained,0,pairwise,0.9064752633372942,0.28057420273156214,0.9235475663509634,0.22935730037796828
11,pretrained,1,exact,1.0,7.488074080873913e-16,1.0,1.838172795818155e-15
11,pretrained,1,pairwise,0.9214835084146924,0.23554947678389404,0.9235804445213742,0.229258671056919
11,pretrained,2,exact,1.0,7.76743959608154e-16,1.0,1.6581860104673703e-15
11,pretrained,2,pairwise,0.9583306805127196,0.12500796075457604,0.9637649721569486,0.10870508949301438
11,pretrained,3,exact,1.0,7.702296515385881e-16,1.0,1.788851244469458e-15
11,pretrained,3,pairwise,0.9556526968048679,0.13304191017151526,0.9603564242521921,0.1189307245545529
11,pretrained,4,exact,1.0,7.09133718804601e-16,1.0,1.890677017585515e-15
11,pretrained,4,pairwise,0.963593226754003,0.10922031766515122,0.9668280465735329,0.09951585510376997
11,pretrained,5,exact,1.0,8.120550689294734e-16,1.0,1.846908242191559e-15
11,pretrained,5,pairwise,0.9679531947606139,0.09614041600596263,0.9679887166453732,0.09603385678201448
11,pretrained,6,exact,1.0,8.007540103087627e-16,1.0,1.7283202973248137e-15
11,pretrained,6,pairwise,0.965470936977201,0.10358718499386062,0.971085835662153,0.08674249926197161
11,pretrained,7,exact,1.0,7.613818566672069e-16,1.0,1.6325271792535217e-15
11,pretrained,7,pairwise,0.9713856954541471,0.08584292092806815,0.9730976658562819,0.08070701640180131
11,pretrained,8,exact,1.0,7.426649271697904e-16,1.0,1.928541219683661e-15
11,pretrained,8,pairwise,0.9654348107675711,0.10369556799196289,0.9707801681425836,0.08765950414979468
11,pretrained,9,exact,1.0,6.968925202464319e-16,1.0,1.847854672837576e-15
11,pretrained,9,pairwise,0.9743254846996732,0.0770235456988707,0.9752732660207484,0.07418020311080101
11,pretrained,10,exact,1.0,7.780377414075375e-16,1.0,1.7871423341754945e-15
11,pretrained,10,pairwise,0.9716242911914984,0.08512712641661185,0.9713373771972127,0.08598786419315729
11,pretrained,11,exact,1.0,7.202077754446251e-16,1.0,1.6944882393268446e-15
11,pretrained,11,pairwise,0.9855452076428466,0.04336437669230185,0.9848728672497802,0.04538140881939196
11,pretrained,12,exact,1.0,7.800171057554918e-16,1.0,1.887824670163947e-15
11,pretrained,12,pairwise,0.972650589628352,0.08204823135747574,0.9732996502684222,0.08010104701194602
11,random_control,0,exact,1.0,7.098097078962453e-16,1.0,1.802053938195051e-15
11,random_control,0,pairwise,0.9477155804634094,0.15685325933575062,0.9668395353688134,0.09948139339071026
11,random_control,1,exact,1.0,7.697408445043957e-16,1.0,2.063946572113679e-15
11,random_control,1,pairwise,0.9584871936175559,0.12453842275620748,0.9582098337511221,0.12537048277833188
11,random_control,2,exact,1.0,8.169107231660989e-16,1.0,2.1998653941516697e-15
11,random_control,2,pairwise,0.9359280326300197,0.19221590633969754,0.9308152024944624,0.20755440041991985
11,random_control,3,exact,1.0,7.261178766965593e-16,1.0,2.027901383563564e-15
11,random_control,3,pairwise,0.9656813575161828,0.10295593039417225,0.9650250155892637,0.10492495043177365
11,random_control,4,exact,1.0,7.067198067942794e-16,1.0,1.7874057143647046e-15
11,random_control,4,pairwise,0.9555812817480829,0.13325614738601466,0.951895130177339,0.14431460147413114
11,random_control,5,exact,1.0,6.704603336139427e-16,1.0,1.7450812749943335e-15
11,random_control,5,pairwise,0.9438469339576032,0.16845919732845183,0.9306922488742404,0.2079232564590509
11,random_control,6,exact,1.0,4.92047346508231e-16,1.0,1.7223026076316914e-15
11,random_control,6,pairwise,0.9546356470220618,0.13609305762090823,0.9473129274944464,0.1580612212160809
11,random_control,7,exact,1.0,6.337272550949386e-16,1.0,1.849820211688772e-15
11,random_control,7,pairwise,0.9533666786220338,0.13989996463836482,0.9437548244992892,0.16873552787001245
11,random_control,8,exact,1.0,6.318504054920674e-16,1.0,1.822977035773488e-15
11,random_control,8,pairwise,0.9522641524672508,0.14320753905081396,0.9497604030701849,0.15071879050487447
11,random_control,9,exact,1.0,7.507800049031185e-16,1.0,1.9957921328614853e-15
11,random_control,9,pairwise,0.9691027969949775,0.09269160483583821,0.9642142475479178,0.1073572617994311
11,random_control,10,exact,1.0,6.982126059297498e-16,1.0,1.779446824415094e-15
11,random_control,10,pairwise,0.9523629115687476,0.14291125698744306,0.9482329309814506,0.15530119719915092
