run_seed,variant_name,layer_index,probe_name,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
7,random_control,4,pairwise,64,401730,0.9925,0.4583333333333333,0.5416666666666667
7,random_control,4,triadic,75,403502,0.9833333333333333,0.4513888888888889,0.5486111111111112
7,random_control,5,query_only,64,642,0.5,0.5,0.5
7,random_control,5,exact,64,49282,0.695,0.5,0.5
7,random_control,5,pairwise,64,401730,1.0,0.4722222222222222,0.5277777777777778
7,random_control,5,triadic,75,403502,0.9833333333333333,0.4375,0.5625
7,random_control,6,query_only,64,642,0.5,0.5,0.5
7,random_control,6,exact,64,49282,0.7041666666666667,0.4375,0.5625
7,random_control,6,pairwise,64,401730,1.0,0.4513888888888889,0.5486111111111112
7,random_control,6,triadic,75,403502,1.0,0.3819444444444444,0.6180555555555556
7,random_control,7,query_only,64,642,0.5,0.5,0.5
7,random_control,7,exact,64,49282,0.725,0.4305555555555556,0.5694444444444444
7,random_control,7,pairwise,64,401730,1.0,0.4027777777777778,0.5972222222222222
7,random_control,7,triadic,75,403502,1.0,0.4166666666666667,0.5833333333333333
7,random_control,8,query_only,64,642,0.5,0.5,0.5
7,random_control,8,exact,64,49282,0.7316666666666667,0.4375,0.5625
7,random_control,8,pairwise,64,401730,1.0,0.375,0.625
7,random_control,8,triadic,75,403502,1.0,0.3611111111111111,0.6388888888888888
7,random_control,9,query_only,64,642,0.5,0.5,0.5
7,random_control,9,exact,64,49282,0.7633333333333333,0.4444444444444444,0.5555555555555556
7,random_control,9,pairwise,64,401730,1.0,0.3819444444444444,0.6180555555555556
7,random_control,9,triadic,75,403502,1.0,0.4375,0.5625
7,random_control,10,query_only,64,642,0.5,0.5,0.5
7,random_control,10,exact,64,49282,0.795,0.5,0.5
7,random_control,10,pairwise,64,401730,1.0,0.4166666666666667,0.5833333333333333
7,random_control,10,triadic,75,403502,1.0,0.4236111111111111,0.5763888888888888
7,random_control,11,query_only,64,642,0.5,0.5,0.5
7,random_control,11,exact,64,49282,0.8141666666666667,0.4652777777777778,0.5347222222222222
7,random_control,11,pairwise,64,401730,1.0,0.375,0.625
7,random_control,11,triadic,75,403502,1.0,0.3611111111111111,0.6388888888888888
7,random_control,12,query_only,64,642,0.5,0.5,0.5
7,random_control,12,exact,64,49282,0.835,0.4861111111111111,0.5138888888888888
7,random_control,12,pairwise,64,401730,1.0,0.4027777777777778,0.5972222222222222
7,random_control,12,triadic,75,403502,1.0,0.3958333333333333,0.6041666666666667
11,pretrained,0,query_only,64,642,0.5,0.5,0.5
11,pretrained,0,exact,64,49282,0.6691666666666667,0.4861111111111111,0.5138888888888888
11,pretrained,0,pairwise,64,401730,0.83,0.4375,0.5625
11,pretrained,0,triadic,75,403502,0.9275,0.3958333333333333,0.6041666666666667
11,pretrained,1,query_only,64,642,0.5,0.5,0.5
11,pretrained,1,exact,64,49282,0.7933333333333333,0.5694444444444444,0.5694444444444444
11,pretrained,1,pairwise,64,401730,0.9758333333333333,0.5833333333333334,0.5833333333333334
11,pretrained,1,triadic,75,403502,0.9833333333333333,0.4930555555555556,0.5069444444444444
11,pretrained,2,query_only,64,642,0.5,0.5,0.5
11,pretrained,2,exact,64,49282,0.8433333333333334,0.5833333333333334,0.5833333333333334
11,pretrained,2,pairwise,64,401730,0.9783333333333334,0.5972222222222222,0.5972222222222222
11,pretrained,2,triadic,75,403502,0.9908333333333333,0.4583333333333333,0.5416666666666667
11,pretrained,3,query_only,64,642,0.5,0.5,0.5
11,pretrained,3,exact,64,49282,0.8766666666666667,0.5555555555555556,0.5555555555555556
11,pretrained,3,pairwise,64,401730,0.9933333333333333,0.5277777777777778,0.5277777777777778
11,pretrained,3,triadic,75,403502,0.9916666666666667,0.4652777777777778,0.5347222222222222
11,pretrained,4,query_only,64,642,0.5,0.5,0.5
11,pretrained,4,exact,64,49282,0.95,0.5972222222222222,0.5972222222222222
11,pretrained,4,pairwise,64,401730,0.9983333333333333,0.5763888888888888,0.5763888888888888
11,pretrained,4,triadic,75,403502,0.9908333333333333,0.5277777777777778,0.5277777777777778
11,pretrained,5,query_only,64,642,0.5,0.5,0.5
11,pretrained,5,exact,64,49282,0.9608333333333333,0.6041666666666666,0.6041666666666666
11,pretrained,5,pairwise,64,401730,0.9941666666666666,0.5763888888888888,0.5763888888888888
11,pretrained,5,triadic,75,403502,0.995,0.4861111111111111,0.5138888888888888
11,pretrained,6,query_only,64,642,0.5,0.5,0.5
11,pretrained,6,exact,64,49282,0.96,0.6041666666666666,0.6041666666666666
11,pretrained,6,pairwise,64,401730,0.9991666666666666,0.5347222222222222,0.5347222222222222
11,pretrained,6,triadic,75,403502,0.9991666666666666,0.4652777777777778,0.5347222222222222
11,pretrained,7,query_only,64,642,0.5,0.5,0.5
11,pretrained,7,exact,64,49282,0.9516666666666667,0.5763888888888888,0.5763888888888888
11,pretrained,7,pairwise,64,401730,1.0,0.5347222222222222,0.5347222222222222
11,pretrained,7,triadic,75,403502,0.9733333333333334,0.5069444444444444,0.5069444444444444
11,pretrained,8,query_only,64,642,0.5,0.5,0.5
11,pretrained,8,exact,64,49282,0.9925,0.6736111111111112,0.6736111111111112
11,pretrained,8,pairwise,64,401730,0.99,0.6111111111111112,0.6111111111111112
11,pretrained,8,triadic,75,403502,0.9858333333333333,0.4722222222222222,0.5277777777777778
11,pretrained,9,query_only,64,642,0.5,0.5,0.5
11,pretrained,9,exact,64,49282,0.9908333333333333,0.6527777777777778,0.6527777777777778
11,pretrained,9,pairwise,64,401730,0.9875,0.6180555555555556,0.6180555555555556
11,pretrained,9,triadic,75,403502,0.9975,0.5069444444444444,0.5069444444444444
11,pretrained,10,query_only,64,642,0.5,0.5,0.5
11,pretrained,10,exact,64,49282,0.9808333333333333,0.6319444444444444,0.6319444444444444
11,pretrained,10,pairwise,64,401730,0.9975,0.5902777777777778,0.5902777777777778
11,pretrained,10,triadic,75,403502,0.9966666666666667,0.5069444444444444,0.5069444444444444
11,pretrained,11,query_only,64,642,0.5,0.5,0.5
11,pretrained,11,exact,64,49282,0.9791666666666666,0.5694444444444444,0.5694444444444444
11,pretrained,11,pairwise,64,401730,0.9583333333333334,0.5277777777777778,0.5277777777777778
11,pretrained,11,triadic,75,403502,0.9958333333333333,0.4722222222222222,0.5277777777777778
11,pretrained,12,query_only,64,642,0.5,0.5,0.5
11,pretrained,12,exact,64,49282,0.9766666666666667,0.6111111111111112,0.6111111111111112
11,pretrained,12,pairwise,64,401730,1.0,0.5486111111111112,0.5486111111111112
11,pretrained,12,triadic,75,403502,0.9958333333333333,0.4583333333333333,0.5416666666666667
11,random_control,0,query_only,64,642,0.5,0.5,0.5
11,random_control,0,exact,64,49282,0.6708333333333333,0.4513888888888889,0.5486111111111112
11,random_control,0,pairwise,64,401730,0.8833333333333333,0.4097222222222222,0.5902777777777778
11,random_control,0,triadic,75,403502,0.945,0.3541666666666667,0.6458333333333333
11,random_control,1,query_only,64,642,0.5,0.5,0.5
11,random_control,1,exact,64,49282,0.6783333333333333,0.4722222222222222,0.5277777777777778
11,random_control,1,pairwise,64,401730,0.8841666666666667,0.4305555555555556,0.5694444444444444
11,random_control,1,triadic,75,403502,0.9491666666666667,0.3541666666666667,0.6458333333333333
11,random_control,2,query_only,64,642,0.5,0.5,0.5
11,random_control,2,exact,64,49282,0.6866666666666666,0.4791666666666667,0.5208333333333333
11,random_control,2,pairwise,64,401730,0.9158333333333334,0.4097222222222222,0.5902777777777778
11,random_control,2,triadic,75,403502,0.955,0.375,0.625
11,random_control,3,query_only,64,642,0.5,0.5,0.5
11,random_control,3,exact,64,49282,0.6841666666666667,0.5,0.5
11,random_control,3,pairwise,64,401730,0.9858333333333333,0.4166666666666667,0.5833333333333333
11,random_control,3,triadic,75,403502,0.9808333333333333,0.3194444444444444,0.6805555555555556
11,random_control,4,query_only,64,642,0.5,0.5,0.5
11,random_control,4,exact,64,49282,0.695,0.5,0.5
11,random_control,4,pairwise,64,401730,0.99,0.3958333333333333,0.6041666666666667
11,random_control,4,triadic,75,403502,0.9833333333333333,0.4097222222222222,0.5902777777777778
11,random_control,5,query_only,64,642,0.5,0.5,0.5
11,random_control,5,exact,64,49282,0.705,0.4930555555555556,0.5069444444444444
11,random_control,5,pairwise,64,401730,1.0,0.4375,0.5625
11,random_control,5,triadic,75,403502,0.9941666666666666,0.4305555555555556,0.5694444444444444
11,random_control,6,query_only,64,642,0.5,0.5,0.5
11,random_control,6,exact,64,49282,0.7083333333333334,0.4652777777777778,0.5347222222222222
11,random_control,6,pairwise,64,401730,1.0,0.3888888888888889,0.6111111111111112
11,random_control,6,triadic,75,403502,1.0,0.3888888888888889,0.6111111111111112
11,random_control,7,query_only,64,642,0.5,0.5,0.5
11,random_control,7,exact,64,49282,0.705,0.4722222222222222,0.5277777777777778
11,random_control,7,pairwise,64,401730,1.0,0.375,0.625
11,random_control,7,triadic,75,403502,0.9833333333333333,0.3611111111111111,0.6388888888888888
11,random_control,8,query_only,64,642,0.5,0.5,0.5
11,random_control,8,exact,64,49282,0.7108333333333333,0.5277777777777778,0.5277777777777778
11,random_control,8,pairwise,64,401730,0.995,0.4791666666666667,0.5208333333333333
11,random_control,8,triadic,75,403502,1.0,0.3541666666666667,0.6458333333333333
11,random_control,9,query_only,64,642,0.5,0.5,0.5
11,random_control,9,exact,64,49282,0.7358333333333333,0.5138888888888888,0.5138888888888888
11,random_control,9,pairwise,64,401730,1.0,0.3680555555555556,0.6319444444444444
11,random_control,9,triadic,75,403502,1.0,0.3888888888888889,0.6111111111111112
11,random_control,10,query_only,64,642,0.5,0.5,0.5
11,random_control,10,exact,64,49282,0.7716666666666666,0.5486111111111112,0.5486111111111112
11,random_control,10,pairwise,64,401730,1.0,0.3541666666666667,0.6458333333333333
11,random_control,10,triadic,75,403502,1.0,0.3194444444444444,0.6805555555555556
11,random_control,11,query_only,64,642,0.5,0.5,0.5
11,random_control,11,exact,64,49282,0.8041666666666667,0.5625,0.5625
11,random_control,11,pairwise,64,401730,1.0,0.3472222222222222,0.6527777777777778
11,random_control,11,triadic,75,403502,1.0,0.3333333333333333,0.6666666666666667
11,random_control,12,query_only,64,642,0.5,0.5,0.5
11,random_control,12,exact,64,49282,0.8458333333333333,0.5208333333333334,0.5208333333333334
11,random_control,12,pairwise,64,401730,1.0,0.3958333333333333,0.6041666666666667
11,random_control,12,triadic,75,403502,1.0,0.3333333333333333,0.6666666666666667
13,pretrained,0,query_only,64,642,0.5,0.5,0.5
13,pretrained,0,exact,64,49282,0.6725,0.4513888888888889,0.5486111111111112
13,pretrained,0,pairwise,64,401730,0.805,0.5,0.5
13,pretrained,0,triadic,75,403502,0.94,0.4236111111111111,0.5763888888888888
13,pretrained,1,query_only,64,642,0.5,0.5,0.5
13,pretrained,1,exact,64,49282,0.7983333333333333,0.6597222222222222,0.6597222222222222
13,pretrained,1,pairwise,64,401730,0.9858333333333333,0.6111111111111112,0.6111111111111112
13,pretrained,1,triadic,75,403502,0.9866666666666667,0.4930555555555556,0.5069444444444444
13,pretrained,2,query_only,64,642,0.5,0.5,0.5
13,pretrained,2,exact,64,49282,0.8208333333333333,0.6319444444444444,0.6319444444444444
13,pretrained,2,pairwise,64,401730,0.9808333333333333,0.6180555555555556,0.6180555555555556
13,pretrained,2,triadic,75,403502,0.9825,0.5416666666666666,0.5416666666666666
13,pretrained,3,query_only,64,642,0.5,0.5,0.5
13,pretrained,3,exact,64,49282,0.885,0.6388888888888888,0.6388888888888888
13,pretrained,3,pairwise,64,401730,0.9975,0.5833333333333334,0.5833333333333334
13,pretrained,3,triadic,75,403502,0.98,0.5069444444444444,0.5069444444444444
13,pretrained,4,query_only,64,642,0.5,0.5,0.5
13,pretrained,4,exact,64,49282,0.9408333333333333,0.7083333333333334,0.7083333333333334
13,pretrained,4,pairwise,64,401730,1.0,0.6180555555555556,0.6180555555555556
13,pretrained,4,triadic,75,403502,0.9925,0.5555555555555556,0.5555555555555556
13,pretrained,5,query_only,64,642,0.5,0.5,0.5
13,pretrained,5,exact,64,49282,0.9525,0.6875,0.6875
13,pretrained,5,pairwise,64,401730,0.9966666666666667,0.5972222222222222,0.5972222222222222
13,pretrained,5,triadic,75,403502,0.9975,0.5416666666666666,0.5416666666666666
13,pretrained,6,query_only,64,642,0.5,0.5,0.5
13,pretrained,6,exact,64,49282,0.9525,0.6736111111111112,0.6736111111111112
13,pretrained,6,pairwise,64,401730,0.9983333333333333,0.6111111111111112,0.6111111111111112
13,pretrained,6,triadic,75,403502,0.9975,0.4791666666666667,0.5208333333333333
13,pretrained,7,query_only,64,642,0.5,0.5,0.5
13,pretrained,7,exact,64,49282,0.96,0.6319444444444444,0.6319444444444444
13,pretrained,7,pairwise,64,401730,0.9991666666666666,0.6180555555555556,0.6180555555555556
13,pretrained,7,triadic,75,403502,0.9916666666666667,0.4861111111111111,0.5138888888888888
13,pretrained,8,query_only,64,642,0.5,0.5,0.5
13,pretrained,8,exact,64,49282,0.9908333333333333,0.6805555555555556,0.6805555555555556
13,pretrained,8,pairwise,64,401730,1.0,0.5763888888888888,0.5763888888888888
13,pretrained,8,triadic,75,403502,0.9933333333333333,0.5138888888888888,0.5138888888888888
13,pretrained,9,query_only,64,642,0.5,0.5,0.5
13,pretrained,9,exact,64,49282,0.9916666666666667,0.6597222222222222,0.6597222222222222
13,pretrained,9,pairwise,64,401730,0.9991666666666666,0.5972222222222222,0.5972222222222222
13,pretrained,9,triadic,75,403502,0.9933333333333333,0.5416666666666666,0.5416666666666666
13,pretrained,10,query_only,64,642,0.5,0.5,0.5
13,pretrained,10,exact,64,49282,0.9933333333333333,0.6319444444444444,0.6319444444444444
13,pretrained,10,pairwise,64,401730,0.9991666666666666,0.6597222222222222,0.6597222222222222
13,pretrained,10,triadic,75,403502,0.9983333333333333,0.5347222222222222,0.5347222222222222
13,pretrained,11,query_only,64,642,0.5,0.5,0.5
13,pretrained,11,exact,64,49282,0.985,0.5972222222222222,0.5972222222222222
13,pretrained,11,pairwise,64,401730,1.0,0.625,0.625
13,pretrained,11,triadic,75,403502,0.9758333333333333,0.5555555555555556,0.5555555555555556
13,pretrained,12,query_only,64,642,0.5,0.5,0.5
13,pretrained,12,exact,64,49282,0.9566666666666667,0.5972222222222222,0.5972222222222222
13,pretrained,12,pairwise,64,401730,0.9983333333333333,0.5625,0.5625
13,pretrained,12,triadic,75,403502,0.995,0.5277777777777778,0.5277777777777778
13,random_control,0,query_only,64,642,0.5,0.5,0.5
13,random_control,0,exact,64,49282,0.6625,0.4513888888888889,0.5486111111111112
13,random_control,0,pairwise,64,401730,0.88,0.4791666666666667,0.5208333333333333
13,random_control,0,triadic,75,403502,0.9591666666666666,0.4444444444444444,0.5555555555555556
13,random_control,1,query_only,64,642,0.5,0.5,0.5
13,random_control,1,exact,64,49282,0.6608333333333334,0.4583333333333333,0.5416666666666667
13,random_control,1,pairwise,64,401730,0.8925,0.5,0.5
13,random_control,1,triadic,75,403502,0.9658333333333333,0.4444444444444444,0.5555555555555556
13,random_control,2,query_only,64,642,0.5,0.5,0.5
13,random_control,2,exact,64,49282,0.665,0.4930555555555556,0.5069444444444444
13,random_control,2,pairwise,64,401730,0.9158333333333334,0.4513888888888889,0.5486111111111112
13,random_control,2,triadic,75,403502,0.9741666666666666,0.4375,0.5625
13,random_control,3,query_only,64,642,0.5,0.5,0.5
13,random_control,3,exact,64,49282,0.65,0.5138888888888888,0.5138888888888888
13,random_control,3,pairwise,64,401730,0.9733333333333334,0.4513888888888889,0.5486111111111112
13,random_control,3,triadic,75,403502,0.9816666666666667,0.4375,0.5625
13,random_control,4,query_only,64,642,0.5,0.5,0.5
13,random_control,4,exact,64,49282,0.6558333333333334,0.4861111111111111,0.5138888888888888
13,random_control,4,pairwise,64,401730,0.9875,0.4513888888888889,0.5486111111111112
13,random_control,4,triadic,75,403502,0.9775,0.4722222222222222,0.5277777777777778
13,random_control,5,query_only,64,642,0.5,0.5,0.5
13,random_control,5,exact,64,49282,0.6708333333333333,0.4722222222222222,0.5277777777777778
13,random_control,5,pairwise,64,401730,1.0,0.4166666666666667,0.5833333333333333
13,random_control,5,triadic,75,403502,0.9958333333333333,0.5138888888888888,0.5138888888888888
13,random_control,6,query_only,64,642,0.5,0.5,0.5
13,random_control,6,exact,64,49282,0.6741666666666667,0.4652777777777778,0.5347222222222222
13,random_control,6,pairwise,64,401730,1.0,0.4722222222222222,0.5277777777777778
13,random_control,6,triadic,75,403502,1.0,0.4722222222222222,0.5277777777777778
13,random_control,7,query_only,64,642,0.5,0.5,0.5
13,random_control,7,exact,64,49282,0.6891666666666667,0.4791666666666667,0.5208333333333333
13,random_control,7,pairwise,64,401730,0.9966666666666667,0.4305555555555556,0.5694444444444444
13,random_control,7,triadic,75,403502,0.9925,0.4652777777777778,0.5347222222222222
13,random_control,8,query_only,64,642,0.5,0.5,0.5
13,random_control,8,exact,64,49282,0.7125,0.4861111111111111,0.5138888888888888
13,random_control,8,pairwise,64,401730,1.0,0.4097222222222222,0.5902777777777778
13,random_control,8,triadic,75,403502,1.0,0.4513888888888889,0.5486111111111112
13,random_control,9,query_only,64,642,0.5,0.5,0.5
13,random_control,9,exact,64,49282,0.7225,0.5,0.5
13,random_control,9,pairwise,64,401730,0.9983333333333333,0.4236111111111111,0.5763888888888888
13,random_control,9,triadic,75,403502,1.0,0.4513888888888889,0.5486111111111112
13,random_control,10,query_only,64,642,0.5,0.5,0.5
13,random_control,10,exact,64,49282,0.7341666666666666,0.5069444444444444,0.5069444444444444
13,random_control,10,pairwise,64,401730,1.0,0.3958333333333333,0.6041666666666667
13,random_control,10,triadic,75,403502,1.0,0.4652777777777778,0.5347222222222222
13,random_control,11,query_only,64,642,0.5,0.5,0.5
13,random_control,11,exact,64,49282,0.7408333333333333,0.4652777777777778,0.5347222222222222
13,random_control,11,pairwise,64,401730,1.0,0.4236111111111111,0.5763888888888888
13,random_control,11,triadic,75,403502,1.0,0.4375,0.5625
13,random_control,12,query_only,64,642,0.5,0.5,0.5
13,random_control,12,exact,64,49282,0.7608333333333334,0.4930555555555556,0.5069444444444444
13,random_control,12,pairwise,64,401730,1.0,0.4305555555555556,0.5694444444444444
13,random_control,12,triadic,75,403502,1.0,0.4861111111111111,0.5138888888888888
17,pretrained,0,query_only,64,642,0.5,0.5,0.5
17,pretrained,0,exact,64,49282,0.6666666666666666,0.4305555555555556,0.5694444444444444
17,pretrained,0,pairwise,64,401730,0.8283333333333334,0.4166666666666667,0.5833333333333333
17,pretrained,0,triadic,75,403502,0.9625,0.3888888888888889,0.6111111111111112
17,pretrained,1,query_only,64,642,0.5,0.5,0.5
17,pretrained,1,exact,64,49282,0.8275,0.6180555555555556,0.6180555555555556
17,pretrained,1,pairwise,64,401730,0.9733333333333334,0.5416666666666666,0.5416666666666666
17,pretrained,1,triadic,75,403502,0.9791666666666666,0.4722222222222222,0.5277777777777778
17,pretrained,2,query_only,64,642,0.5,0.5,0.5
17,pretrained,2,exact,64,49282,0.8625,0.6041666666666666,0.6041666666666666
17,pretrained,2,pairwise,64,401730,0.9933333333333333,0.5486111111111112,0.5486111111111112
17,pretrained,2,triadic,75,403502,0.99,0.4444444444444444,0.5555555555555556
17,pretrained,3,query_only,64,642,0.5,0.5,0.5
17,pretrained,3,exact,64,49282,0.8991666666666667,0.5902777777777778,0.5902777777777778
17,pretrained,3,pairwise,64,401730,0.9983333333333333,0.5069444444444444,0.5069444444444444
17,pretrained,3,triadic,75,403502,0.995,0.4236111111111111,0.5763888888888888
17,pretrained,4,query_only,64,642,0.5,0.5,0.5
17,pretrained,4,exact,64,49282,0.9441666666666667,0.6180555555555556,0.6180555555555556
17,pretrained,4,pairwise,64,401730,0.9975,0.5763888888888888,0.5763888888888888
17,pretrained,4,triadic,75,403502,0.9875,0.5,0.5
17,pretrained,5,query_only,64,642,0.5,0.5,0.5
17,pretrained,5,exact,64,49282,0.9383333333333334,0.6458333333333334,0.6458333333333334
17,pretrained,5,pairwise,64,401730,0.9991666666666666,0.5486111111111112,0.5486111111111112
17,pretrained,5,triadic,75,403502,0.9966666666666667,0.4861111111111111,0.5138888888888888
17,pretrained,6,query_only,64,642,0.5,0.5,0.5
17,pretrained,6,exact,64,49282,0.9333333333333333,0.5972222222222222,0.5972222222222222
17,pretrained,6,pairwise,64,401730,0.9958333333333333,0.5277777777777778,0.5277777777777778
17,pretrained,6,triadic,75,403502,0.9925,0.4097222222222222,0.5902777777777778
17,pretrained,7,query_only,64,642,0.5,0.5,0.5
17,pretrained,7,exact,64,49282,0.9391666666666667,0.5833333333333334,0.5833333333333334
17,pretrained,7,pairwise,64,401730,0.945,0.5625,0.5625
17,pretrained,7,triadic,75,403502,0.9858333333333333,0.4375,0.5625
17,pretrained,8,query_only,64,642,0.5,0.5,0.5
17,pretrained,8,exact,64,49282,0.9841666666666666,0.6597222222222222,0.6597222222222222
17,pretrained,8,pairwise,64,401730,0.9983333333333333,0.5486111111111112,0.5486111111111112
17,pretrained,8,triadic,75,403502,0.9941666666666666,0.5,0.5
17,pretrained,9,query_only,64,642,0.5,0.5,0.5
17,pretrained,9,exact,64,49282,0.985,0.5902777777777778,0.5902777777777778
17,pretrained,9,pairwise,64,401730,0.9858333333333333,0.6041666666666666,0.6041666666666666
17,pretrained,9,triadic,75,403502,0.9983333333333333,0.4930555555555556,0.5069444444444444
17,pretrained,10,query_only,64,642,0.5,0.5,0.5
17,pretrained,10,exact,64,49282,0.985,0.625,0.625
17,pretrained,10,pairwise,64,401730,1.0,0.5694444444444444,0.5694444444444444
17,pretrained,10,triadic,75,403502,0.9841666666666666,0.4930555555555556,0.5069444444444444
17,pretrained,11,query_only,64,642,0.5,0.5,0.5
17,pretrained,11,exact,64,49282,0.9741666666666666,0.5555555555555556,0.5555555555555556
17,pretrained,11,pairwise,64,401730,0.9333333333333333,0.5347222222222222,0.5347222222222222
17,pretrained,11,triadic,75,403502,0.9891666666666666,0.4722222222222222,0.5277777777777778
17,pretrained,12,query_only,64,642,0.5,0.5,0.5
