variant_name,layer_index,probe_name,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact,64,49282,0.0,5,0.6608333333333333,0.01405593982786085,0.44166666666666665,0.0356135594582169,0.5583333333333333,0.035613559458216926
pretrained,0,pairwise,64,401730,0.0,5,0.8213333333333334,0.010501322668015555,0.46805555555555556,0.048262639871927915,0.5458333333333333,0.03128855646130223
pretrained,0,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,0,triadic,75,403502,0.0,5,0.9403333333333334,0.013197221929886122,0.4013888888888889,0.015055196797693605,0.5986111111111111,0.015055196797693654
pretrained,1,exact,64,49282,0.0,5,0.8056666666666666,0.01531384631269652,0.6166666666666667,0.043479099562495925,0.6166666666666667,0.043479099562495925
pretrained,1,pairwise,64,401730,0.0,5,0.9701666666666667,0.017964084539250334,0.5666666666666667,0.04183991758720022,0.5666666666666667,0.04183991758720022
pretrained,1,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,1,triadic,75,403502,0.0,5,0.9821666666666666,0.0037546267753562654,0.48194444444444445,0.024355108217708595,0.5208333333333334,0.021404215288086746
pretrained,2,exact,64,49282,0.0,5,0.8443333333333334,0.021460558137093178,0.6180555555555556,0.0235497568858516,0.6180555555555556,0.0235497568858516
pretrained,2,pairwise,64,401730,0.0,5,0.9815,0.011124297730643488,0.5916666666666667,0.02751612882799853,0.5916666666666667,0.02751612882799853
pretrained,2,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,2,triadic,75,403502,0.0,5,0.9836666666666667,0.0065245263770211115,0.5027777777777778,0.04826263987192795,0.5416666666666667,0.012991865926298406
pretrained,3,exact,64,49282,0.0,5,0.8848333333333334,0.011477635257800742,0.6069444444444444,0.04489786076456834,0.6069444444444444,0.04489786076456834
pretrained,3,pairwise,64,401730,0.0,5,0.9961666666666666,0.0030390970881350675,0.5638888888888889,0.043755511116731566,0.5638888888888889,0.043755511116731566
pretrained,3,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,3,triadic,75,403502,0.0,5,0.9885,0.005664215155988816,0.4777777777777778,0.03416214965624679,0.525,0.03167153958608715
pretrained,4,exact,64,49282,0.0,5,0.9503333333333334,0.012368755439053332,0.6541666666666667,0.04770990010366019,0.6541666666666667,0.04770990010366019
pretrained,4,pairwise,64,401730,0.0,5,0.9921666666666666,0.014283829240710545,0.6,0.02282177322938195,0.6,0.02282177322938195
pretrained,4,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,4,triadic,75,403502,0.0,5,0.9911666666666666,0.002472066162365203,0.5361111111111111,0.030030205986721722,0.5361111111111111,0.030030205986721722
pretrained,5,exact,64,49282,0.0,5,0.9495,0.014100334905400087,0.6486111111111111,0.04183991758720018,0.6486111111111111,0.04183991758720018
pretrained,5,pairwise,64,401730,0.0,5,0.9946666666666667,0.005257270098529172,0.5888888888888889,0.030429030972509208,0.5888888888888889,0.030429030972509208
pretrained,5,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,5,triadic,75,403502,0.0,5,0.9915,0.00858778201865884,0.5222222222222223,0.0334488738299786,0.5333333333333333,0.018633899812498272
pretrained,6,exact,64,49282,0.0,5,0.9513333333333334,0.011823352598424298,0.6138888888888889,0.04155076472680999,0.6138888888888889,0.04155076472680999
pretrained,6,pairwise,64,401730,0.0,5,0.994,0.006384660436459332,0.5708333333333333,0.038477486603319636,0.5708333333333333,0.038477486603319636
pretrained,6,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,6,triadic,75,403502,0.0,5,0.9953333333333334,0.003205897343611875,0.4527777777777778,0.028800612990732954,0.5472222222222222,0.028800612990732968
pretrained,7,exact,64,49282,0.0,5,0.957,0.01283712065327213,0.5972222222222222,0.04049272149198125,0.5972222222222222,0.04049272149198125
pretrained,7,pairwise,64,401730,0.0,5,0.9846666666666667,0.022887102141696425,0.576388888888889,0.03066583634141615,0.576388888888889,0.03066583634141615
pretrained,7,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,7,triadic,75,403502,0.0,5,0.989,0.00995475877267861,0.4930555555555555,0.0463252224448831,0.5347222222222222,0.02644365661758303
pretrained,8,exact,64,49282,0.0,5,0.988,0.005190803834132502,0.6527777777777778,0.030270131552365815,0.6527777777777778,0.030270131552365815
pretrained,8,pairwise,64,401730,0.0,5,0.9943333333333333,0.005381294763654295,0.5861111111111111,0.026260653334984785,0.5861111111111111,0.026260653334984785
pretrained,8,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,8,triadic,75,403502,0.0,5,0.9934999999999999,0.004837641757899989,0.5027777777777778,0.018762855675147638,0.5138888888888888,0.010980130764473553
