variant_name,layer_index,probe_name,exactness_mean,curl_energy_mean,exactness_positional_mean,curl_energy_positional_mean
pretrained,0,exact,1.0,8.855625915236452e-16,1.0,1.881292913086995e-15
pretrained,0,pairwise,0.906256788306766,0.28122962662665585,0.9064453745053874,0.28066387332768905
pretrained,1,exact,1.0,7.826356965313999e-16,1.0,1.7873418905791833e-15
pretrained,1,pairwise,0.9666602003077666,0.1000194018375219,0.9708094745874405,0.08757157845765404
pretrained,2,exact,1.0,7.859817427494848e-16,1.0,1.703616579212327e-15
pretrained,2,pairwise,0.9774848160644373,0.0675455455930205,0.9777346141636372,0.06679615468440009
pretrained,3,exact,1.0,7.65165708352547e-16,1.0,1.6380297593152425e-15
pretrained,3,pairwise,0.9807901461091306,0.05762956153274798,0.9816515925857756,0.055045215640145924
pretrained,4,exact,1.0,6.190864509138462e-16,1.0,1.5290227386696037e-15
pretrained,4,pairwise,0.9926610560052924,0.022016823900533684,0.9930989171067873,0.02070324425908944
pretrained,5,exact,1.0,6.222226539331216e-16,1.0,1.6246510562607314e-15
pretrained,5,pairwise,0.9921664570768675,0.023500622818877066,0.9926644638180733,0.022006615582843853
pretrained,6,exact,1.0,7.156391838538739e-16,1.0,1.6216621806570647e-15
pretrained,6,pairwise,0.9851984377536509,0.04440468152056888,0.9857466792066892,0.04275996162970033
pretrained,7,exact,1.0,8.028550628509909e-16,1.0,1.730792699000522e-15
pretrained,7,pairwise,0.9892756181458632,0.03217314604424044,0.9885785463783476,0.034264365021145854
pretrained,8,exact,1.0,7.53768935238569e-16,1.0,1.957254459425661e-15
pretrained,8,pairwise,0.9951385772890515,0.014584269832994323,0.9947339428795708,0.01579816814935637
pretrained,9,exact,1.0,6.800028728863593e-16,1.0,1.7539326086362841e-15
pretrained,9,pairwise,0.9958743904199865,0.012376830504864402,0.9953018799424171,0.014094362352302091
pretrained,10,exact,1.0,7.363290202218838e-16,1.0,1.7006349559606354e-15
pretrained,10,pairwise,0.9941677927143044,0.01749662072931339,0.9937658512757884,0.018702442315568786
pretrained,11,exact,1.0,6.9438612673231265e-16,1.0,1.6965643773728407e-15
pretrained,11,pairwise,0.9946502525773313,0.016049249648656568,0.9943928147355715,0.016821548937716417
pretrained,12,exact,1.0,6.531641739482773e-16,1.0,1.7351809906765176e-15
pretrained,12,pairwise,0.9897390094896158,0.030782974770570744,0.9917349571155177,0.024795117214024585
random_control,0,exact,1.0,7.79999195273233e-16,1.0,1.9008644589397038e-15
random_control,0,pairwise,0.8751163416438632,0.3746509903834926,0.8681915638347467,0.3954252944677137
random_control,1,exact,1.0,7.870193690470372e-16,1.0,1.992621442223908e-15
random_control,1,pairwise,0.8729192639390627,0.3812422019351895,0.8663195814523432,0.40104125425892156
random_control,2,exact,1.0,7.632559187173682e-16,1.0,2.03982971033784e-15
random_control,2,pairwise,0.8991006885965666,0.3026979269828492,0.8872483836279975,0.338254839168965
random_control,3,exact,1.0,7.678742472997178e-16,1.0,1.7387923906448452e-15
random_control,3,pairwise,0.90667584621244,0.2799724574013251,0.907257963799768,0.27822611060724334
random_control,4,exact,1.0,7.186987367101638e-16,1.0,1.803246633376679e-15
random_control,4,pairwise,0.9125411796073118,0.26237645372425,0.9088592417538166,0.2734222714530511
random_control,5,exact,1.0,6.956952170254293e-16,1.0,1.7211424382946564e-15
random_control,5,pairwise,0.8963566823965974,0.31092995584670763,0.8928831857111719,0.32135044284061426
random_control,6,exact,1.0,7.458320432842142e-16,1.0,1.668836071144739e-15
random_control,6,pairwise,0.8872873096002473,0.33813806604788016,0.8797155833906598,0.3608532582972354
random_control,7,exact,1.0,6.517363808935809e-16,1.0,1.6719414637771256e-15
random_control,7,pairwise,0.8912090406649642,0.326372879322864,0.8870974663231108,0.3387075917546301
random_control,8,exact,1.0,6.70597938969017e-16,1.0,1.5874499842720624e-15
random_control,8,pairwise,0.9069921444687579,0.27902356719197186,0.9040985964238644,0.2877042191151607
random_control,9,exact,1.0,6.333419397980416e-16,1.0,1.618340714110882e-15
random_control,9,pairwise,0.8988115336332057,0.3035654000802121,0.8943763387699922,0.31687096836362294
random_control,10,exact,1.0,6.448406179330824e-16,1.0,1.835305329740805e-15
random_control,10,pairwise,0.9341646706064543,0.19750599358909918,0.932377946873506,0.20286615937301475
random_control,11,exact,1.0,5.879783971764388e-16,1.0,1.8124053138793938e-15
random_control,11,pairwise,0.9338076582385434,0.1985770211322233,0.9314878976179494,0.20553630504905918
random_control,12,exact,1.0,5.782053500561727e-16,1.0,1.7111314066248022e-15
random_control,12,pairwise,0.9464481307400597,0.16065559965985207,0.9466333252688249,0.16010001949002295
