variant_name,layer_index,probe_name,probe_family,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact_r1,exact,1,1032,0.0,3,0.5491666666666667,0.014457792977414554,0.525462962962963,0.028065638085606817,0.525462962962963,0.028065638085606817
pretrained,0,exact_r16,exact,16,16482,0.0,3,0.565,0.0279259934668601,0.513888888888889,0.03866503029743074,0.5324074074074074,0.014456013885181487
pretrained,0,exact_r2,exact,2,2062,0.0,3,0.5613888888888889,0.021895162665487276,0.5277777777777778,0.048112522432468836,0.5462962962962963,0.016037507477489613
pretrained,0,exact_r4,exact,4,4122,0.0,3,0.5625,0.021032382440206582,0.5023148148148149,0.07127224221454007,0.5532407407407407,0.028912027770362916
pretrained,0,exact_r64,exact,64,65922,0.0,3,0.5636111111111111,0.020109653108598077,0.5023148148148148,0.026291242341667943,0.5208333333333334,0.006944444444444475
pretrained,0,exact_r8,exact,8,8242,0.0,3,0.5638888888888889,0.021284014171656127,0.5300925925925926,0.03281816407119866,0.5347222222222222,0.0250385505240555
pretrained,0,pairwise,pairwise,64,533058,0.0,3,0.8144444444444444,0.01700353993644771,0.5254629629629629,0.01445601388518147,0.5254629629629629,0.01445601388518147
pretrained,0,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,3,0.9330555555555555,0.02643563111772806,0.5393518518518519,0.03425613098830728,0.5393518518518519,0.03425613098830728
pretrained,0,query_only,query_only,64,1538,0.0,3,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,0,triadic,triadic,87,534878,0.0,3,0.9222222222222223,0.011912100912439756,0.5300925925925926,0.026291242341667943,0.5300925925925926,0.026291242341667943
pretrained,1,exact_r1,exact,1,1032,0.0,3,0.5447222222222222,0.01712562515755373,0.5069444444444444,0.01837327299350411,0.5162037037037037,0.004009376869372451
pretrained,1,exact_r16,exact,16,16482,0.0,3,0.5997222222222223,0.010875984416917695,0.48842592592592593,0.03207501495497919,0.5208333333333334,0.02405626121623445
pretrained,1,exact_r2,exact,2,2062,0.0,3,0.5936111111111111,0.0162517805292334,0.4953703703703704,0.05906180936191239,0.5416666666666666,0.030270131552365808
pretrained,1,exact_r4,exact,4,4122,0.0,3,0.6022222222222222,0.01940670941634288,0.5,0.03674654598700821,0.5277777777777778,0.01388888888888895
pretrained,1,exact_r64,exact,64,65922,0.0,3,0.5866666666666667,0.02254624876411444,0.537037037037037,0.03563612110727001,0.537037037037037,0.03563612110727001
pretrained,1,exact_r8,exact,8,8242,0.0,3,0.6013888888888889,0.00708741712342946,0.4791666666666667,0.03674654598700822,0.5347222222222222,0.013888888888888895
pretrained,1,pairwise,pairwise,64,533058,0.0,3,0.8494444444444444,0.018565449790563283,0.49537037037037035,0.008018753738744807,0.5046296296296297,0.008018753738744774
pretrained,1,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,3,0.9408333333333333,0.00946484724300042,0.49074074074074076,0.028065638085606824,0.5231481481481481,0.010607814108694085
pretrained,1,query_only,query_only,64,1538,0.0,3,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,1,triadic,triadic,87,534878,0.0,3,0.9425,0.010639287779003116,0.5138888888888888,0.048611111111111105,0.537037037037037,0.024388087390862845
pretrained,2,exact_r1,exact,1,1032,0.0,3,0.5830555555555555,0.0020971762320196497,0.5185185185185185,0.010607814108694097,0.5185185185185185,0.010607814108694097
pretrained,2,exact_r16,exact,16,16482,0.0,3,0.6077777777777778,0.00673575314054562,0.4814814814814815,0.06744815872376606,0.5555555555555556,0.020833333333333315
pretrained,2,exact_r2,exact,2,2062,0.0,3,0.6102777777777778,0.002545875386086576,0.48842592592592593,0.03425613098830728,0.5300925925925926,0.004009376869372387
pretrained,2,exact_r4,exact,4,4122,0.0,3,0.6047222222222222,0.02083888814834565,0.4837962962962963,0.014456013885181479,0.5162037037037037,0.01445601388518147
pretrained,2,exact_r64,exact,64,65922,0.0,3,0.5930555555555556,0.016859989894992832,0.4930555555555556,0.03866503029743071,0.525462962962963,0.024388087390862845
pretrained,2,exact_r8,exact,8,8242,0.0,3,0.6058333333333333,0.00961046882889233,0.4861111111111111,0.012028130608117225,0.5138888888888888,0.012028130608117225
pretrained,2,pairwise,pairwise,64,533058,0.0,3,0.8283333333333333,0.014743171677461779,0.48842592592592593,0.017476468600163764,0.5162037037037037,0.010607814108694097
pretrained,2,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,3,0.9516666666666667,0.008819171036881984,0.4861111111111111,0.03472222222222224,0.5277777777777778,0.01837327299350414
pretrained,2,query_only,query_only,64,1538,0.0,3,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,2,triadic,triadic,87,534878,0.0,3,0.9352777777777778,0.006364688465216422,0.5185185185185185,0.017476468600163768,0.5185185185185185,0.017476468600163768
pretrained,3,exact_r1,exact,1,1032,0.0,3,0.5769444444444445,0.02048599340832476,0.5277777777777778,0.030270131552365784,0.5324074074074074,0.02232326565044668
pretrained,3,exact_r16,exact,16,16482,0.0,3,0.6147222222222223,0.004110735718596904,0.41435185185185186,0.017476468600163796,0.5856481481481481,0.017476468600163827
pretrained,3,exact_r2,exact,2,2062,0.0,3,0.6113888888888889,0.015282827448309926,0.4722222222222222,0.05684272758244759,0.5416666666666666,0.04224140646040432
pretrained,3,exact_r4,exact,4,4122,0.0,3,0.6205555555555555,0.002545875386086576,0.47685185185185186,0.056559220939215796,0.5509259259259259,0.010607814108694085
pretrained,3,exact_r64,exact,64,65922,0.0,3,0.6013888888888889,0.01197025634800845,0.47453703703703703,0.06851226197661456,0.5439814814814815,0.05258248468333591
pretrained,3,exact_r8,exact,8,8242,0.0,3,0.625,0.004409585518440981,0.48842592592592593,0.06990587440065509,0.5532407407407407,0.028912027770362975
pretrained,3,pairwise,pairwise,64,533058,0.0,3,0.86,0.031057741922640384,0.4861111111111111,0.018373272993504088,0.5185185185185185,0.010607814108694085
pretrained,3,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,3,0.9494444444444444,0.012647280486480247,0.5208333333333334,0.05423784497157401,0.5347222222222222,0.04224140646040434
pretrained,3,query_only,query_only,64,1538,0.0,3,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,3,triadic,triadic,87,534878,0.0,3,0.9441666666666667,0.010897247358851706,0.5416666666666666,0.05423784497157399,0.5416666666666666,0.05423784497157399
pretrained,4,exact_r1,exact,1,1032,0.0,3,0.5897222222222223,0.00994196120454071,0.46064814814814814,0.05258248468333589,0.5532407407407407,0.028912027770362916
pretrained,4,exact_r16,exact,16,16482,0.0,3,0.6288888888888889,0.01087598441691769,0.4837962962962963,0.02806563808560679,0.5254629629629629,0.01445601388518155
pretrained,4,exact_r2,exact,2,2062,0.0,3,0.6083333333333334,0.022928027486996037,0.4560185185185185,0.045183382629498,0.5439814814814815,0.045183382629498
pretrained,4,exact_r4,exact,4,4122,0.0,3,0.6302777777777778,0.010046189622236192,0.4861111111111111,0.05511981898051234,0.5462962962962963,0.010607814108694097
pretrained,4,exact_r64,exact,64,65922,0.0,3,0.6158333333333333,0.02351122663277646,0.49537037037037035,0.03563612110727002,0.5277777777777778,0.012028130608117225
pretrained,4,exact_r8,exact,8,8242,0.0,3,0.6308333333333334,0.010639287779003054,0.48148148148148145,0.04726985614968087,0.5416666666666666,0.012028130608117225
pretrained,4,pairwise,pairwise,64,533058,0.0,3,0.9130555555555555,0.007561476438231207,0.5208333333333334,0.02777777777777779,0.525462962962963,0.02121562821738818
pretrained,4,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,3,0.9725,0.012018504251546677,0.4791666666666667,0.025038550524055476,0.5208333333333334,0.025038550524055514
pretrained,4,query_only,query_only,64,1538,0.0,3,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,4,triadic,triadic,87,534878,0.0,3,0.9730555555555556,0.00427633453287238,0.5138888888888888,0.0422414064604043,0.5277777777777778,0.030270131552365808
