variant_name,layer_index,probe_name,probe_family,group_type,group_name,run_count,example_count_mean,example_count_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact_r1,exact,query_direction_type,hidden_positive,3,72,0.0,0.4722222222222222,0.060540263104731554,0.537037037037037,0.05258248468333587
pretrained,0,exact_r1,exact,query_direction_type,matched_negative,3,72,0.0,0.5787037037037037,0.11311844187843165,0.5787037037037037,0.11311844187843165
pretrained,0,exact_r1,exact,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5680555555555555,0.05897464929322816,0.5680555555555555,0.05897464929322816
pretrained,0,exact_r1,exact,query_distance_type,visible_6,3,42,5.291502622129181,0.4598684210526316,0.11097379653776625,0.5817982456140351,0.06851692844047975
pretrained,0,exact_r1,exact,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.5289693669911456,0.12740646064435968,0.6047269427487213,0.03224350699727544
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.4867816091954023,0.1530258078655448,0.6132183908045977,0.06671866778888291
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.3904970760233918,0.11035765233620046,0.6095029239766082,0.11035765233620046
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.5163064400813947,0.09090360108200998,0.5641533300335478,0.0498882755793324
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.6493295019157088,0.03517073907314378,0.6493295019157088,0.03517073907314378
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.5292397660818713,0.12539053592041852,0.5818713450292398,0.08337179783265058
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.5416322939008964,0.23659077176028684,0.6628444151130177,0.1371043756597609
pretrained,0,exact_r1,exact,relation_id,masked_balanced_triplet,3,144,0.0,0.525462962962963,0.028065638085606817,0.525462962962963,0.028065638085606817
pretrained,0,exact_r1,exact,template_family_id,balanced_align,3,68,3.4641016151377544,0.5408249158249159,0.05255215738021709,0.5500841750841751,0.038718251286555344
pretrained,0,exact_r1,exact,template_family_id,balanced_sync,3,76,3.4641016151377544,0.5131766381766382,0.012835342799814894,0.5131766381766382,0.012835342799814894
pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_forward,3,35.333333333333336,8.32666399786453,0.489010989010989,0.05576314046753967,0.5366300366300366,0.03574948955300939
pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_reverse,3,32.666666666666664,6.429100507328637,0.5996031746031746,0.029888619139127853,0.5996031746031746,0.029888619139127853
pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_forward,3,38,6.0,0.45285087719298245,0.04165223665180391,0.5471491228070176,0.04165223665180391
pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_reverse,3,38,9.16515138991168,0.5658902691511387,0.026808246591496727,0.5658902691511387,0.026808246591496727
pretrained,0,exact_r16,exact,query_direction_type,hidden_positive,3,72,0.0,0.49537037037037035,0.03207501495497919,0.5231481481481481,0.016037507477489676
pretrained,0,exact_r16,exact,query_direction_type,matched_negative,3,72,0.0,0.5324074074074074,0.04877617478172566,0.5416666666666666,0.03674654598700824
pretrained,0,exact_r16,exact,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5606800766283525,0.026483721654278366,0.5606800766283525,0.026483721654278366
pretrained,0,exact_r16,exact,query_distance_type,visible_6,3,42,5.291502622129181,0.43296783625730995,0.042775152014163806,0.56703216374269,0.04277515201416383
pretrained,0,exact_r16,exact,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.526577022493538,0.08221519174000891,0.5720315679480834,0.006002063660977857
pretrained,0,exact_r16,exact,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.5172413793103449,0.029862944958084087,0.5172413793103449,0.029862944958084087
pretrained,0,exact_r16,exact,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.4080409356725146,0.08000068931169124,0.5919590643274855,0.0800006893116912
pretrained,0,exact_r16,exact,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.5301930374525656,0.12308656111875628,0.5907990980586262,0.06442838257762919
pretrained,0,exact_r16,exact,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.6041187739463602,0.032505999798505325,0.6041187739463602,0.032505999798505325
pretrained,0,exact_r16,exact,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.45789473684210524,0.051836093693663696,0.5421052631578948,0.05183609369366368
pretrained,0,exact_r16,exact,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.5229610075345102,0.09511776030948355,0.5647582907111037,0.05956295663460956
pretrained,0,exact_r16,exact,relation_id,masked_balanced_triplet,3,144,0.0,0.513888888888889,0.03866503029743074,0.5324074074074074,0.014456013885181487
pretrained,0,exact_r16,exact,template_family_id,balanced_align,3,68,3.4641016151377544,0.5012626262626263,0.03794186666999171,0.5290404040404041,0.013302593122288852
pretrained,0,exact_r16,exact,template_family_id,balanced_sync,3,76,3.4641016151377544,0.5252849002849003,0.038996946084039225,0.5345441595441596,0.026264094113236897
pretrained,0,exact_r16,exact,template_id,balanced_triplet_align_forward,3,35.333333333333336,8.32666399786453,0.5026669237195552,0.08848343878133237,0.5661589872116187,0.035699723786858366
pretrained,0,exact_r16,exact,template_id,balanced_triplet_align_reverse,3,32.666666666666664,6.429100507328637,0.5111111111111111,0.01924500897298752,0.5111111111111111,0.01924500897298752
pretrained,0,exact_r16,exact,template_id,balanced_triplet_sync_forward,3,38,6.0,0.5085227272727273,0.08130163648439877,0.5539772727272727,0.04846227871940903
pretrained,0,exact_r16,exact,template_id,balanced_triplet_sync_reverse,3,38,9.16515138991168,0.5549689440993789,0.01462267995899819,0.5549689440993789,0.01462267995899819
pretrained,0,exact_r2,exact,query_direction_type,hidden_positive,3,72,0.0,0.4814814814814815,0.31066850129273366,0.7314814814814814,0.12904962837746625
pretrained,0,exact_r2,exact,query_direction_type,matched_negative,3,72,0.0,0.5740740740740741,0.3081748007526411,0.7129629629629629,0.18754286204193604
pretrained,0,exact_r2,exact,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5815134099616858,0.046013216109315774,0.5815134099616858,0.046013216109315774
pretrained,0,exact_r2,exact,query_distance_type,visible_6,3,42,5.291502622129181,0.5059941520467837,0.049096040117582264,0.539327485380117,0.012014128511141411
pretrained,0,exact_r2,exact,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.4842160259583127,0.06521827671909858,0.5448220865643733,0.04016958061836891
pretrained,0,exact_r2,exact,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.5175287356321839,0.27770323679469744,0.7008620689655172,0.13062012272955495
pretrained,0,exact_r2,exact,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.41842105263157897,0.3227629165145964,0.7482456140350877,0.14737625292472029
pretrained,0,exact_r2,exact,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.5035747676401034,0.3535201068010924,0.7595831270967387,0.15466264755329417
pretrained,0,exact_r2,exact,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.6454980842911877,0.3069337246274704,0.7489463601532567,0.18166291520827163
pretrained,0,exact_r2,exact,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.5935672514619883,0.31753093573260666,0.7046783625730995,0.2260935487979334
pretrained,0,exact_r2,exact,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.464857284276522,0.338310630511263,0.753533520321179,0.14102386156209687
pretrained,0,exact_r2,exact,relation_id,masked_balanced_triplet,3,144,0.0,0.5277777777777778,0.048112522432468836,0.5462962962962963,0.016037507477489613
pretrained,0,exact_r2,exact,template_family_id,balanced_align,3,68,3.4641016151377544,0.5113636363636364,0.05953118805114287,0.5391414141414141,0.03794186666999174
pretrained,0,exact_r2,exact,template_family_id,balanced_sync,3,76,3.4641016151377544,0.5423789173789173,0.05832524494397231,0.5516381766381766,0.04578254280088351
pretrained,0,exact_r2,exact,template_id,balanced_triplet_align_forward,3,35.333333333333336,8.32666399786453,0.4945697577276525,0.08721960551326964,0.5580618212197159,0.05093847521834131
pretrained,0,exact_r2,exact,template_id,balanced_triplet_align_reverse,3,32.666666666666664,6.429100507328637,0.5349206349206349,0.03574073094983396,0.5349206349206349,0.03574073094983396
pretrained,0,exact_r2,exact,template_id,balanced_triplet_sync_forward,3,38,6.0,0.5636961722488039,0.10998566411990983,0.578847687400319,0.09411276819886834
pretrained,0,exact_r2,exact,template_id,balanced_triplet_sync_reverse,3,38,9.16515138991168,0.5311594202898551,0.027181158454363853,0.5311594202898551,0.027181158454363853
pretrained,0,exact_r4,exact,query_direction_type,hidden_positive,3,72,0.0,0.4583333333333333,0.024056261216234418,0.5416666666666666,0.02405626121623445
pretrained,0,exact_r4,exact,query_direction_type,matched_negative,3,72,0.0,0.5462962962962963,0.12602460730385368,0.611111111111111,0.024056261216234387
pretrained,0,exact_r4,exact,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5224137931034483,0.05850506966163782,0.5446360153256705,0.03446519348283329
pretrained,0,exact_r4,exact,query_distance_type,visible_6,3,42,5.291502622129181,0.4611111111111111,0.037577081273524125,0.5388888888888889,0.0375770812735241
pretrained,0,exact_r4,exact,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.5183688060276082,0.13434054421641725,0.6092778969366991,0.02531823916312622
pretrained,0,exact_r4,exact,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.47164750957854407,0.026219328905633135,0.5283524904214559,0.026219328905633135
pretrained,0,exact_r4,exact,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.3635964912280702,0.04324792705817448,0.6364035087719299,0.04324792705817448
pretrained,0,exact_r4,exact,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.5223560468569542,0.06591997799594317,0.5526590771599845,0.030588643882645712
pretrained,0,exact_r4,exact,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.5731800766283525,0.10063435560476829,0.5954022988505747,0.06714060628280566
pretrained,0,exact_r4,exact,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.558625730994152,0.11802266755343069,0.5919590643274854,0.08000068931169124
pretrained,0,exact_r4,exact,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.5143815651982621,0.21493900451982617,0.6658967167134137,0.07229411363220202
pretrained,0,exact_r4,exact,relation_id,masked_balanced_triplet,3,144,0.0,0.5023148148148149,0.07127224221454007,0.5532407407407407,0.028912027770362916
pretrained,0,exact_r4,exact,template_family_id,balanced_align,3,68,3.4641016151377544,0.5361952861952862,0.07669177090837107,0.5547138047138047,0.057934231675319074
pretrained,0,exact_r4,exact,template_family_id,balanced_sync,3,76,3.4641016151377544,0.47115384615384615,0.08351803987689348,0.5544871794871795,0.06140142327137186
pretrained,0,exact_r4,exact,template_id,balanced_triplet_align_forward,3,35.333333333333336,8.32666399786453,0.5169976222607802,0.12668442572936234,0.5963627016258595,0.05053382104300972
pretrained,0,exact_r4,exact,template_id,balanced_triplet_align_reverse,3,32.666666666666664,6.429100507328637,0.569047619047619,0.059903550597186286,0.569047619047619,0.059903550597186286
pretrained,0,exact_r4,exact,template_id,balanced_triplet_sync_forward,3,38,6.0,0.47891746411483255,0.0499220574904203,0.5419158692185008,0.022880377282448683
pretrained,0,exact_r4,exact,template_id,balanced_triplet_sync_reverse,3,38,9.16515138991168,0.45248447204968945,0.14511681665094683,0.5953416149068324,0.10397328151951142
pretrained,0,exact_r64,exact,query_direction_type,hidden_positive,3,72,0.0,0.46759259259259256,0.016037507477489613,0.5324074074074074,0.016037507477489676
pretrained,0,exact_r64,exact,query_direction_type,matched_negative,3,72,0.0,0.537037037037037,0.04877617478172566,0.5462962962962963,0.03495293720032759
pretrained,0,exact_r64,exact,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5646551724137931,0.02116511474519578,0.5646551724137931,0.02116511474519578
pretrained,0,exact_r64,exact,query_distance_type,visible_6,3,42,5.291502622129181,0.44539473684210523,0.025284051119178457,0.5546052631578947,0.025284051119178405
pretrained,0,exact_r64,exact,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.47481163724357917,0.09636716734703503,0.56572072815267,0.061314681819604124
pretrained,0,exact_r64,exact,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.5001915708812261,0.07643966232004322,0.5557471264367816,0.03437242886047277
pretrained,0,exact_r64,exact,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.381140350877193,0.01666089466072158,0.618859649122807,0.01666089466072156
pretrained,0,exact_r64,exact,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.4981026233294836,0.11724400759301665,0.5890117142385745,0.043207979196921556
pretrained,0,exact_r64,exact,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.6291187739463602,0.0341232859436204,0.6291187739463602,0.0341232859436204
pretrained,0,exact_r64,exact,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.5096491228070176,0.06501296127609749,0.5429824561403509,0.03993878048362181
pretrained,0,exact_r64,exact,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.45152065115767476,0.0791646558317944,0.5599736017158885,0.06631111728108807
pretrained,0,exact_r64,exact,relation_id,masked_balanced_triplet,3,144,0.0,0.5023148148148148,0.026291242341667943,0.5208333333333334,0.006944444444444475
pretrained,0,exact_r64,exact,template_family_id,balanced_align,3,68,3.4641016151377544,0.49537037037037035,0.03134603734236602,0.5248316498316498,0.009476708963971143
pretrained,0,exact_r64,exact,template_family_id,balanced_sync,3,76,3.4641016151377544,0.5074786324786325,0.046704044859817107,0.5352564102564102,0.020016019225635943
pretrained,0,exact_r64,exact,template_id,balanced_triplet_align_forward,3,35.333333333333336,8.32666399786453,0.4210204999678684,0.046707283969863594,0.5789795000321316,0.04670728396986358
pretrained,0,exact_r64,exact,template_id,balanced_triplet_align_reverse,3,32.666666666666664,6.429100507328637,0.5773809523809523,0.04550360679432471,0.5773809523809523,0.04550360679432471
pretrained,0,exact_r64,exact,template_id,balanced_triplet_sync_forward,3,38,6.0,0.4893341307814992,0.06673173460821805,0.5523325358851675,0.022709559327348843
pretrained,0,exact_r64,exact,template_id,balanced_triplet_sync_reverse,3,38,9.16515138991168,0.5311594202898551,0.027181158454363853,0.5311594202898551,0.027181158454363853
pretrained,0,exact_r8,exact,query_direction_type,hidden_positive,3,72,0.0,0.5046296296296297,0.028912027770362957,0.5231481481481481,0.008018753738744838
pretrained,0,exact_r8,exact,query_direction_type,matched_negative,3,72,0.0,0.5555555555555556,0.07349309197401643,0.5740740740740741,0.04243125643477631
pretrained,0,exact_r8,exact,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5930076628352491,0.04450808381424816,0.5930076628352491,0.04450808381424816
pretrained,0,exact_r8,exact,query_distance_type,visible_6,3,42,5.291502622129181,0.44853801169590646,0.11775424133427612,0.604093567251462,0.03981657441097832
pretrained,0,exact_r8,exact,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.5284056536325139,0.06539703989068005,0.5587086839355442,0.017805342168385394
pretrained,0,exact_r8,exact,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.553352490421456,0.01257929445059605,0.553352490421456,0.01257929445059605
pretrained,0,exact_r8,exact,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.4347953216374269,0.10898512402453692,0.5985380116959065,0.060750495929825225
pretrained,0,exact_r8,exact,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.5072045317054391,0.09009133356582154,0.5678105923114997,0.03601238196586696
pretrained,0,exact_r8,exact,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.6326628352490421,0.07963884022024363,0.6326628352490421,0.07963884022024363
pretrained,0,exact_r8,exact,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.46228070175438596,0.295233760302798,0.6956140350877192,0.17860519401124134
pretrained,0,exact_r8,exact,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.5496067755595886,0.07151149560331785,0.5496067755595886,0.07151149560331785
pretrained,0,exact_r8,exact,relation_id,masked_balanced_triplet,3,144,0.0,0.5300925925925926,0.03281816407119866,0.5347222222222222,0.0250385505240555
pretrained,0,exact_r8,exact,template_family_id,balanced_align,3,68,3.4641016151377544,0.5206228956228955,0.03754765476378944,0.5298821548821548,0.02661517130263025
pretrained,0,exact_r8,exact,template_family_id,balanced_sync,3,76,3.4641016151377544,0.5384615384615384,0.03391988860339219,0.5384615384615384,0.03391988860339219
pretrained,0,exact_r8,exact,template_id,balanced_triplet_align_forward,3,35.333333333333336,8.32666399786453,0.5016708437761069,0.050146194481065755,0.5334168755221387,0.029048184880056355
pretrained,0,exact_r8,exact,template_id,balanced_triplet_align_reverse,3,32.666666666666664,6.429100507328637,0.5432539682539682,0.024753127259921712,0.5432539682539682,0.024753127259921712
pretrained,0,exact_r8,exact,template_id,balanced_triplet_sync_forward,3,38,6.0,0.48484848484848486,0.026243194054073906,0.5151515151515151,0.026243194054073875
pretrained,0,exact_r8,exact,template_id,balanced_triplet_sync_reverse,3,38,9.16515138991168,0.5933747412008281,0.019496906611997634,0.5933747412008281,0.019496906611997634
pretrained,0,pairwise,pairwise,query_direction_type,hidden_positive,3,72,0.0,0.4444444444444444,0.024056261216234387,0.5555555555555556,0.02405626121623432
pretrained,0,pairwise,pairwise,query_direction_type,matched_negative,3,72,0.0,0.6064814814814815,0.021215628217388132,0.6064814814814815,0.021215628217388132
pretrained,0,pairwise,pairwise,query_distance_type,visible_5,3,55.333333333333336,6.429100507328637,0.5795498084291187,0.03908477339840096,0.5795498084291187,0.03908477339840096
pretrained,0,pairwise,pairwise,query_distance_type,visible_6,3,42,5.291502622129181,0.525,0.09013878188659973,0.5583333333333333,0.06291528696058958
pretrained,0,pairwise,pairwise,query_distance_type,visible_7,3,46.666666666666664,10.263202878893768,0.4576390034647748,0.017009356108470177,0.5423609965352252,0.01700935610847016
pretrained,0,pairwise,pairwise,query_type,hidden_positive_visible_5,3,27.666666666666668,3.2145502536643185,0.5446360153256705,0.03446519348283329,0.5446360153256705,0.03446519348283329
pretrained,0,pairwise,pairwise,query_type,hidden_positive_visible_6,3,21,2.6457513110645907,0.4366959064327485,0.09226837409041853,0.5910818713450292,0.04561473796129631
pretrained,0,pairwise,pairwise,query_type,hidden_positive_visible_7,3,23.333333333333332,5.131601439446884,0.3275312104713194,0.07446905388899035,0.6724687895286806,0.0744690538889904
pretrained,0,pairwise,pairwise,query_type,matched_negative_visible_5,3,27.666666666666668,3.2145502536643185,0.6144636015325671,0.05819113332401938,0.6144636015325671,0.05819113332401938
pretrained,0,pairwise,pairwise,query_type,matched_negative_visible_6,3,21,2.6457513110645907,0.6133040935672515,0.10536210018566941,0.6133040935672515,0.10536210018566941
pretrained,0,pairwise,pairwise,query_type,matched_negative_visible_7,3,23.333333333333332,5.131601439446884,0.5877467964582301,0.04308284600681851,0.5877467964582301,0.04308284600681851
