run_seed,variant_name,layer_index,probe_name,diagnostic_family,exactness_mean,curl_energy_mean,exactness_positional_mean,curl_energy_positional_mean
7,pretrained,0,exact_r1,probe,1.0,2.5746290011137217e-15,0.9997930621935261,0.0012416175966589232
7,pretrained,0,exact_r2,probe,1.0,3.253425294695269e-15,0.9997752304706309,0.001348637465626881
7,pretrained,0,exact_r4,probe,1.0,3.132548374120969e-15,0.9997913754648633,0.0012517508350558476
7,pretrained,0,exact_r8,probe,1.0,3.3423084094782272e-15,0.9997296200858222,0.0016222722398298276
7,pretrained,0,exact_r16,probe,1.0,3.2430874200231117e-15,0.9996846305827299,0.0018922151252303997
7,pretrained,0,exact_r64,probe,1.0,3.169615733650344e-15,0.9998213239014149,0.00107204931110674
7,pretrained,0,pairwise,probe,0.8014555349946022,1.191266781753964,0.7812123534580072,1.3127258742849033
7,pretrained,0,pairwise_plus_triadic,probe,0.8170578065845702,1.0976531592508156,0.7941502009828886,1.2350987998975649
7,pretrained,0,raw_projection_r4,raw_projection,1.0,2.9659967040719283e-15,0.9998697634372447,0.0007814269483787939
7,pretrained,0,raw_skew_bilinear_r8,raw_skew_bilinear,0.360833867556519,3.8349967896938324,0.36069951413406265,3.835802889532513
7,pretrained,1,exact_r1,probe,1.0,2.546318803735065e-15,0.9997453867561288,0.0015276706443627416
7,pretrained,1,exact_r2,probe,1.0,3.087055352136857e-15,0.9995400512384044,0.0027596982407784606
7,pretrained,1,exact_r4,probe,1.0,3.134238767333558e-15,0.9995821706122823,0.0025069721224200395
7,pretrained,1,exact_r8,probe,1.0,3.1410589258941604e-15,0.9998116956816779,0.0011298239070230112
7,pretrained,1,exact_r16,probe,1.0,3.2864632596268684e-15,0.9997716016239591,0.0013703968814095585
7,pretrained,1,exact_r64,probe,1.0,3.1608419134492347e-15,0.9997605093651347,0.0014369535977796961
7,pretrained,1,pairwise,probe,0.8228758101662,1.0627451410724058,0.7981948078506522,1.2108311433759
7,pretrained,1,pairwise_plus_triadic,probe,0.7835598285827372,1.298641015465061,0.749644605235921,1.5021323644452624
7,pretrained,1,raw_projection_r4,raw_projection,1.0,2.8264070640278487e-15,0.9998993521763219,0.0006039022013687321
7,pretrained,1,raw_skew_bilinear_r8,raw_skew_bilinear,0.4754249155521393,3.14745050503148,0.4750058092176914,3.1499651455216937
7,pretrained,2,exact_r1,probe,1.0,2.0422098323360756e-15,0.999741531494591,0.0015507967436860781
7,pretrained,2,exact_r2,probe,1.0,2.6635625528783832e-15,0.9997086835404237,0.0017478978580685281
7,pretrained,2,exact_r4,probe,1.0,2.8547330931723962e-15,0.9998707353240914,0.0007755788960316244
7,pretrained,2,exact_r8,probe,1.0,3.1485120798230707e-15,0.9999123497141732,0.0005258877404735864
7,pretrained,2,exact_r16,probe,1.0,3.0968129827244114e-15,0.9997301031317976,0.0016193874261160898
7,pretrained,2,exact_r64,probe,1.0,3.0833174052991556e-15,0.9998171081145605,0.0010973698327789963
7,pretrained,2,pairwise,probe,0.8354373197588656,0.9873760671665271,0.8074895069003105,1.1550629412134488
7,pretrained,2,pairwise_plus_triadic,probe,0.8362125410801835,0.9827247431708707,0.8347391655875577,0.9915650013006396
7,pretrained,2,raw_projection_r4,raw_projection,1.0,3.1993876914168827e-15,0.9998332113027573,0.0010007379161025812
7,pretrained,2,raw_skew_bilinear_r8,raw_skew_bilinear,0.6230308065811793,2.2618151439560785,0.6233387589454651,2.259967476957374
7,pretrained,3,exact_r1,probe,1.0,3.195689554576248e-15,0.9999237656593323,0.0004574180629788316
7,pretrained,3,exact_r2,probe,1.0,2.556358194442063e-15,0.9997576404776838,0.0014541716381144295
7,pretrained,3,exact_r4,probe,1.0,2.3457507870854084e-15,0.999923145191537,0.00046110987043195765
7,pretrained,3,exact_r8,probe,1.0,3.0661513319167964e-15,0.9998317547142506,0.001009478678396489
7,pretrained,3,exact_r16,probe,1.0,2.8114770135129962e-15,0.9998341302076975,0.0009952238813437158
7,pretrained,3,exact_r64,probe,1.0,2.9450799401235326e-15,0.9998317716850175,0.0010093806575039504
7,pretrained,3,pairwise,probe,0.8155783079564571,1.1065301386018593,0.8084702690442404,1.1491783815953467
7,pretrained,3,pairwise_plus_triadic,probe,0.8099300575753053,1.1404196593082614,0.8046240516834788,1.172255690726969
7,pretrained,3,raw_projection_r4,raw_projection,1.0,2.9397609213659045e-15,0.9998672128551536,0.0007967157350018775
7,pretrained,3,raw_skew_bilinear_r8,raw_skew_bilinear,0.6043530313505067,2.3738817820946374,0.6049847238593631,2.3700916783677206
7,pretrained,4,exact_r1,probe,1.0,5.741007237033668e-16,0.9992912349601587,0.004252587322197441
7,pretrained,4,exact_r2,probe,1.0,1.99257699519019e-15,0.9994807131588459,0.003115728579966041
7,pretrained,4,exact_r4,probe,1.0,2.164330653978296e-15,0.9995239658488168,0.00285620401053974
7,pretrained,4,exact_r8,probe,1.0,2.5689042566647975e-15,0.9997959281835291,0.0012244256209265182
7,pretrained,4,exact_r16,probe,1.0,2.8640740037698717e-15,0.9997979977892505,0.0012120043094101776
7,pretrained,4,exact_r64,probe,1.0,2.933529417984055e-15,0.9998428858816624,0.0009427049004039469
7,pretrained,4,pairwise,probe,0.8544032863444753,0.8735802790357007,0.8489272755881151,0.9064363423320982
7,pretrained,4,pairwise_plus_triadic,probe,0.7366156756050057,1.5803059509230986,0.7383534585436186,1.5698792185220454
7,pretrained,4,raw_projection_r4,raw_projection,1.0,3.003230701157699e-15,0.9998726265297996,0.000764251720991322
7,pretrained,4,raw_skew_bilinear_r8,raw_skew_bilinear,0.6537071793443627,2.0777569346957736,0.6532921629647414,2.0802470122774444
7,pretrained,5,exact_r1,probe,1.0,2.84959735865931e-15,0.9997544259660773,0.001473434696688653
7,pretrained,5,exact_r2,probe,1.0,2.5994504433067487e-15,0.9995825816359785,0.0025045093049508673
7,pretrained,5,exact_r4,probe,1.0,3.053443610937773e-15,0.999940003371901,0.00035997351622225123
7,pretrained,5,exact_r8,probe,1.0,2.5012557162959757e-15,0.9998979941010475,0.0006120274679738537
7,pretrained,5,exact_r16,probe,1.0,2.877221124928462e-15,0.9998383215732045,0.0009700763956870004
7,pretrained,5,exact_r64,probe,1.0,2.786117768367587e-15,0.9998325655857722,0.0010046042063752087
