variant_name,layer_index,probe_name,diagnostic_family,run_count,exactness_mean,exactness_std,curl_energy_mean,curl_energy_std,exactness_positional_mean,exactness_positional_std,curl_energy_positional_mean,curl_energy_positional_std
pretrained,0,exact_r1,probe,5,1.0,0.0,3.1034741292263625e-15,3.695289646219996e-16,0.9977700567079915,0.002519020757275256,0.013379655454931102,0.015114124926469687
pretrained,0,exact_r16,probe,5,1.0,0.0,3.180085702476454e-15,4.408625169834795e-17,0.9990079399612215,0.0005139751677651261,0.0059523637809130985,0.0030838509951295885
pretrained,0,exact_r2,probe,5,1.0,0.0,3.246365613019948e-15,1.535007249045512e-16,0.9979995497398907,0.0018867128600690997,0.012002709281417386,0.011320271398577808
pretrained,0,exact_r4,probe,5,1.0,0.0,3.211581480669697e-15,1.9514622334476789e-16,0.9986063329709901,0.0012171900413597463,0.008362001792314307,0.007303133531476734
pretrained,0,exact_r64,probe,5,1.0,0.0,3.1608940547975286e-15,4.1082427448929115e-17,0.9992649620605839,0.0005181051696806743,0.0044102228263606475,0.0031086337650514688
pretrained,0,exact_r8,probe,5,1.0,0.0,3.19958459179877e-15,1.0892159724854084e-16,0.9988351725041866,0.0006887605990328778,0.006988963496729008,0.004132568382929167
pretrained,0,pairwise,probe,5,0.7906429746912585,0.016153303738110955,1.2561421481271584,0.09691981532525246,0.7698833691577117,0.014070928623066673,1.3806997834808297,0.08442558219288766
pretrained,0,pairwise_plus_triadic,probe,5,0.8141959407263332,0.03152711356744633,1.1148243550211192,0.18916268237216316,0.7963766002820598,0.030075554285245432,1.2217403976867596,0.1804533308051239
pretrained,0,raw_projection_r4,raw_projection,5,1.0,0.0,3.0586672106618576e-15,6.556260830996404e-17,0.999762798514631,0.00015578984690908432,0.0014232102695031143,0.000934744055253975
pretrained,0,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.36112363023890387,0.0006884495873543674,3.833258210288154,0.004130683083996616,0.3604296746353308,0.0009163835307218375,3.837421951029036,0.0054982867728521284
pretrained,1,exact_r1,probe,5,1.0,0.0,2.514849460782038e-15,5.914618131521441e-16,0.9992190181381173,0.0010865808706922429,0.004685889887251606,0.006519488878338467
pretrained,1,exact_r16,probe,5,1.0,0.0,3.163214378030894e-15,1.3874033158506534e-16,0.9994083478218979,0.00034953989498999797,0.003549916056767365,0.0020972394710130136
pretrained,1,exact_r2,probe,5,1.0,0.0,3.0330164020200203e-15,3.5068756045757973e-16,0.998417275150617,0.0018796887410108963,0.009496348179850934,0.011278135418755289
pretrained,1,exact_r4,probe,5,1.0,0.0,3.1333052637926268e-15,1.4358538330083364e-16,0.9990970058573617,0.0006735749128832082,0.005417964076817346,0.004041447399791514
pretrained,1,exact_r64,probe,5,1.0,0.0,3.126989154686601e-15,7.764453666182295e-17,0.999433233588934,0.0003324189209694611,0.003400594869486263,0.0019945078107000817
pretrained,1,exact_r8,probe,5,1.0,0.0,2.989363595229443e-15,2.2747530670466285e-16,0.9992540032499366,0.0004338122483307391,0.004475977402681666,0.002602877614121102
pretrained,1,pairwise,probe,5,0.7856909684836865,0.04154560798674068,1.2858541836341222,0.24927363934612312,0.7696483135223389,0.04013182905448251,1.382110126896037,0.24079098404512495
pretrained,1,pairwise_plus_triadic,probe,5,0.7257273522516092,0.05693639138648506,1.6456358869456582,0.3416183566301136,0.7100877938171228,0.05907898093715112,1.739473231260975,0.3544738763529682
pretrained,1,raw_projection_r4,raw_projection,5,1.0,0.0,2.971557286405837e-15,9.99772588980667e-17,0.9997559577226639,0.0002212221193437922,0.001464255255026122,0.00132733262303581
pretrained,1,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.47708288927872977,0.0021800864024271224,3.13750264942646,0.01308052908767011,0.47637949759761494,0.002552631077036723,3.1417230238517124,0.01531578651954193
pretrained,2,exact_r1,probe,5,1.0,0.0,2.5586820452181694e-15,5.976912229723164e-16,0.9997389420039124,0.00015980003842413603,0.0015663375225914125,0.0009587939274922948
pretrained,2,exact_r16,probe,5,1.0,0.0,3.0310876345592703e-15,2.480594256989287e-16,0.999397164914343,0.0004337887116892113,0.0036170202342974437,0.0026027310755710824
pretrained,2,exact_r2,probe,5,1.0,0.0,2.8141670793388465e-15,4.3747482701446366e-16,0.9995607237021128,0.00043922111629444977,0.002635658302541641,0.0026353280876074913
pretrained,2,exact_r4,probe,5,1.0,0.0,3.138570921312757e-15,3.0192355318068543e-16,0.9992037735879421,0.00047637139661192663,0.004777355531930678,0.002858228730398649
pretrained,2,exact_r64,probe,5,1.0,0.0,3.0583679542524648e-15,9.011088081393767e-17,0.9995429925620556,0.00021882244177907754,0.0027420504557893665,0.0013129316123990122
pretrained,2,exact_r8,probe,5,1.0,0.0,3.0423968911280684e-15,1.6912036707885325e-16,0.9991453799108664,0.0007195845022285703,0.005127715668358077,0.0043175086203948825
pretrained,2,pairwise,probe,5,0.7854033007389969,0.06140340623721473,1.2875801875773403,0.3684204364747596,0.7732450120978885,0.05685563471106336,1.360529919134246,0.3411338224245953
pretrained,2,pairwise_plus_triadic,probe,5,0.7235767981244459,0.09014373679836352,1.658539210052954,0.5408624210384979,0.7154624792436759,0.09319743465929275,1.7072251223027706,0.5591845982698999
pretrained,2,raw_projection_r4,raw_projection,5,1.0,0.0,3.146948536411778e-15,5.542826117697854e-17,0.9997200553615888,0.0002088161516270106,0.0016796668904539224,0.0012528985112928487
pretrained,2,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.6243912583423985,0.0022199584234389833,2.253652444647418,0.013319754724779106,0.6241594773199823,0.0021022873236965444,2.255043147173193,0.012613724767734666
pretrained,3,exact_r1,probe,5,1.0,0.0,2.690160533021362e-15,4.1162510307062706e-16,0.9991546558009253,0.0010188840141315317,0.005072067950115727,0.006113292916457384
pretrained,3,exact_r16,probe,5,1.0,0.0,2.8276061747487803e-15,4.050974178733471e-16,0.9993860728210873,0.00047584765260089395,0.003683561586512951,0.002855090727816278
pretrained,3,exact_r2,probe,5,1.0,0.0,2.8730002377822153e-15,4.991755022099026e-16,0.9991825698150529,0.0007415994255335034,0.004904586440696019,0.0044495864646694
pretrained,3,exact_r4,probe,5,1.0,0.0,2.8109553932165207e-15,3.4253100755559214e-16,0.9992157152957386,0.0009301918444503102,0.0047056961311075915,0.005581147772743719
pretrained,3,exact_r64,probe,5,1.0,0.0,2.9438081116240788e-15,1.9687290552752463e-16,0.9995435712238153,0.00028366790595782274,0.0027385761196556915,0.0017020053071457172
pretrained,3,exact_r8,probe,5,1.0,0.0,2.940485621432697e-15,4.644703405244148e-16,0.9993518365754022,0.0005674200837740655,0.0038889851762279348,0.003404522584184596
pretrained,3,pairwise,probe,5,0.7786601275205612,0.03258267718190194,1.3280392301165396,0.1954960590656622,0.772245846523179,0.03152768929079249,1.366524921481808,0.1891661438378259
pretrained,3,pairwise_plus_triadic,probe,5,0.7931528944108222,0.04235698094505813,1.2410826276366909,0.2541418822854147,0.787088240434726,0.04452732605225521,1.2774705581573977,0.26716395358887274
pretrained,3,raw_projection_r4,raw_projection,5,1.0,0.0,3.0038726988612863e-15,7.782430248652675e-17,0.9997800461120075,0.00012516733698315926,0.001319723423027123,0.0007510036766020284
pretrained,3,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.601080593218406,0.0030159768853852457,2.3935164401928586,0.0180958734191331,0.6009497227768104,0.003315551330776707,2.3943016716175607,0.019893295151328885
pretrained,4,exact_r1,probe,5,1.0,0.0,2.026645161214192e-15,1.1317457015749863e-15,0.9993077429632345,0.0007073842957243263,0.004153543566230333,0.00424431000469458
pretrained,4,exact_r16,probe,5,1.0,0.0,2.778601650332775e-15,3.721672515069276e-16,0.9995557486183113,0.0002073159250362144,0.002665509851390703,0.001243892872994924
pretrained,4,exact_r2,probe,5,1.0,0.0,2.5120176074391234e-15,6.54276020619564e-16,0.9989591312905153,0.0008122705163322597,0.006245211511526981,0.004873618561863669
pretrained,4,exact_r4,probe,5,1.0,0.0,2.5880457057761515e-15,5.438746457086707e-16,0.9992232169542048,0.0005226968336503883,0.004660693674183373,0.0031361804356821086
pretrained,4,exact_r64,probe,5,1.0,0.0,2.882787320767353e-15,1.7854388446989043e-16,0.9995708166725106,0.00023360496217203329,0.0025750993782518586,0.0014016149144683385
pretrained,4,exact_r8,probe,5,1.0,0.0,2.656682062171916e-15,4.67554658392242e-16,0.9994304825862249,0.00033735584032465894,0.0034171054097694446,0.0020241374945171834
pretrained,4,pairwise,probe,5,0.8188842327230507,0.048955776852493665,1.086694599646661,0.2937346572798732,0.8146403772135576,0.04781702644606871,1.1121577426791192,0.286902166888141
pretrained,4,pairwise_plus_triadic,probe,5,0.7145897645089362,0.048761875692672374,1.7124614186171028,0.2925712612088658,0.7176746192905639,0.04223709268276902,1.6939522804071505,0.25342256784407435
pretrained,4,raw_projection_r4,raw_projection,5,1.0,0.0,3.0547808001610895e-15,1.2417015437173054e-16,0.9997944058643446,0.00019833576919285934,0.0012335681312833913,0.0011900118146029055
pretrained,4,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.6404056182338131,0.00854537676475093,2.1575662897692784,0.05127226382900179,0.6395409094790617,0.008740983662123638,2.162754539979829,0.0524459108121123
pretrained,5,exact_r1,probe,5,1.0,0.0,2.457075303339397e-15,7.178726145579562e-16,0.9996198820571105,0.0002966564918201814,0.002280702492458254,0.001779939705022339
pretrained,5,exact_r16,probe,5,1.0,0.0,2.8581524274640805e-15,1.4429140860625228e-16,0.9995863416128689,0.00023867809109478474,0.002481951026533756,0.0014320707707364496
pretrained,5,exact_r2,probe,5,1.0,0.0,2.6776125039147807e-15,5.872683599445102e-16,0.9993619715174039,0.0003491471736374163,0.003828170919910513,0.0020948765482595145
pretrained,5,exact_r4,probe,5,1.0,0.0,2.852119110564535e-15,5.26580110566052e-16,0.9995551569594278,0.0003173085751994145,0.0026690620048814,0.0019038525611235826
pretrained,5,exact_r64,probe,5,1.0,0.0,2.8405422701481806e-15,1.783778130659836e-16,0.9995915791226758,0.00020939562151902464,0.0024505178718957016,0.001256372021679965
pretrained,5,exact_r8,probe,5,1.0,0.0,2.7178429616895948e-15,4.475192087274983e-16,0.9995215346415838,0.00024927927167749326,0.0028707891500946263,0.0014956777679871788
pretrained,5,pairwise,probe,5,0.8705934142072995,0.05043117484125383,0.776439510534207,0.30258705699036065,0.8690110377967358,0.0467056602150245,0.7859337684594923,0.2802339615028589
pretrained,5,pairwise_plus_triadic,probe,5,0.8268926758733061,0.0794578612699335,1.0386439463951522,0.47674717391048216,0.8234583644403352,0.07954989962865454,1.0592498134304251,0.4772993989571836
pretrained,5,raw_projection_r4,raw_projection,5,1.0,0.0,2.89004923842443e-15,1.6172532586245351e-16,0.9997899788949225,0.00025750351260320735,0.0012601235662562734,0.0015450161410500293
pretrained,5,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.6969982205165757,0.008293582163131483,1.8180106855101055,0.04976149494294155,0.6963071535858844,0.008538758857927526,1.822157084527943,0.051232545321654055
pretrained,6,exact_r1,probe,5,1.0,0.0,2.172767304640549e-15,8.561825792116682e-16,0.9995197126434908,0.0004363251243086377,0.002881723636811431,0.0026179540817429293
pretrained,6,exact_r16,probe,5,1.0,0.0,2.5963678448033847e-15,3.7730886085985234e-16,0.9994840403397878,0.0002184046093959794,0.0030957594926601614,0.001310425219749733
pretrained,6,exact_r2,probe,5,1.0,0.0,2.1962012617478663e-15,7.025637720888206e-16,0.9992766383621428,0.0006740359920579029,0.004340168457969816,0.004044210803198598
pretrained,6,exact_r4,probe,5,1.0,0.0,2.69702394548692e-15,4.842638627763416e-16,0.9991515510612063,0.0005304110283747172,0.005090695534616114,0.003182468454296736
pretrained,6,exact_r64,probe,5,1.0,0.0,2.8020208931262774e-15,1.3878660069234686e-16,0.9995968746642272,0.00015902658990680975,0.00241875323837222,0.0009541602789182189
pretrained,6,exact_r8,probe,5,1.0,0.0,2.4964198396536878e-15,6.472143925393352e-16,0.9995301614205042,0.00021243818384059633,0.002819034004480475,0.0012746306116855157
pretrained,6,pairwise,probe,5,0.8747501794662741,0.02179624774055805,0.7514989255203142,0.1307774808150093,0.8719903527862496,0.02171531208761193,0.7680578784603211,0.13029187529452854
pretrained,6,pairwise_plus_triadic,probe,5,0.8273208368155691,0.09428386121117559,1.036074978009694,0.5657031580092289,0.8258359867665502,0.09429507087684293,1.0449840759858489,0.5657704247251093
pretrained,6,raw_projection_r4,raw_projection,5,1.0,0.0,3.006494285611846e-15,9.667802401100455e-17,0.999745025816891,0.0002965508372449774,0.0015298495502267743,0.0017793061407364798
pretrained,6,raw_skew_bilinear_r8,raw_skew_bilinear,5,0.7501166973676946,0.007871941590140862,1.4992998115718366,0.04723164980945294,0.7494892006946935,0.008126641430035357,1.5030647980670135,0.04875985085434878
pretrained,7,exact_r1,probe,5,1.0,0.0,2.3478715183738908e-15,6.554408666175053e-16,0.9997733364502589,0.0002012157257455559,0.0013599797849262055,0.0012072904339979894
pretrained,7,exact_r16,probe,5,1.0,0.0,2.9505792072717546e-15,1.1383256462293247e-16,0.9995894374946753,0.0002333108305763435,0.0024633736109535677,0.0013998674108610604
pretrained,7,exact_r2,probe,5,1.0,0.0,3.046529678570251e-15,4.0275192317695116e-16,0.9993632803360621,0.00032916608159924314,0.0038203274869980913,0.0019749895380080634
pretrained,7,exact_r4,probe,5,1.0,0.0,2.537796143843717e-15,5.071896927809498e-16,0.9994634472661548,0.00024411427681990188,0.0032193168662666316,0.0014646838905692278
