run_seed,variant_name,delta_name,layer_count,delta_mean,delta_std,curl_mean,curl_std,pearson_r,spearman_r
7,pretrained,delta_pairwise_plus_triadic,13,0.06143162393162392,0.0579522213179286,2.0751721075393705,0.7127066547785044,-0.523801103723134,-0.2837476331617129
7,pretrained,delta_triadic,13,0.06677350427350426,0.05420363629899924,2.0751721075393705,0.7127066547785044,-0.39795338291343885,-0.20110269146412665
7,random_control,delta_pairwise_plus_triadic,13,0.023504273504273518,0.04602394964711967,1.111693843641979,0.545551943865764,0.5026411533432773,0.345789735069931
7,random_control,delta_triadic,13,0.04914529914529916,0.04468805652887525,1.111693843641979,0.545551943865764,0.17172960632138642,-0.1383158940279724
11,pretrained,delta_pairwise_plus_triadic,13,-0.002136752136752142,0.050188095867064283,2.086234785902959,0.7100861798524618,-0.2524827039594457,-0.33012410872843767
11,pretrained,delta_triadic,13,-0.008012820512820514,0.051722993757652845,2.086234785902959,0.7100861798524618,-0.1411081934080716,-0.21487684841372437
11,random_control,delta_pairwise_plus_triadic,13,-0.0005341880341880451,0.02883708441365415,1.02814468403116,0.5823237205427112,-0.23826950825984972,-0.13573875917897033
11,random_control,delta_triadic,13,0.017094017094017103,0.03810125253533012,1.02814468403116,0.5823237205427112,-0.6468010229204493,-0.3581280806895406
13,pretrained,delta_pairwise_plus_triadic,13,0.03952991452991453,0.07021474488211432,2.118101039535215,0.697435337393311,-0.4131251763163281,-0.43923322298731476
13,pretrained,delta_triadic,13,0.043269230769230754,0.05520388158689758,2.118101039535215,0.697435337393311,-0.2964462746874308,-0.27823797038187387
13,random_control,delta_pairwise_plus_triadic,13,-0.008012820512820505,0.04454254886494351,0.6273317663914436,0.2840703456313819,0.2115062560488984,0.21053358566534172
13,random_control,delta_triadic,13,-0.01549145299145298,0.046598019649598026,0.6273317663914436,0.2840703456313819,0.5363146403982864,0.6389283301266269
17,pretrained,delta_pairwise_plus_triadic,13,0.014957264957264968,0.05753463867132741,2.1285030357539654,0.685420931589967,0.24809859412354812,0.09641909864718401
17,pretrained,delta_triadic,13,0.017094017094017085,0.04841356891035346,2.1285030357539654,0.685420931589967,-0.14893837612183752,-0.23237070196699364
17,random_control,delta_pairwise_plus_triadic,13,0.011752136752136745,0.02327245823802559,1.11466199450959,0.5255064315362259,0.49055740208678206,0.4585705346911588
17,random_control,delta_triadic,13,0.0235042735042735,0.04567333724788776,1.11466199450959,0.5255064315362259,0.2188711600833001,0.2659371608404316
19,pretrained,delta_pairwise_plus_triadic,13,0.0064102564102564135,0.05337605126836236,2.1098656430840492,0.7004327908574647,-0.6541385319991185,-0.35181270236182105
19,pretrained,delta_triadic,13,0.009081196581196578,0.048477380153167514,2.1098656430840492,0.7004327908574647,-0.6357125601177073,-0.4689695322177003
19,random_control,delta_pairwise_plus_triadic,13,-0.01762820512820512,0.051236588050426066,0.9004155206056232,0.2062716565848338,-0.4141398034442869,-0.3383772114466486
19,random_control,delta_triadic,13,-0.03632478632478632,0.057486260865973374,0.9004155206056232,0.2062716565848338,-0.6521409064333225,-0.7337993857053429
