variant_name,layer_index,probe_name,probe_family,group_type,group_name,run_count,example_count_mean,example_count_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact_r1,exact,query_direction_type,hidden_positive,1,72,0.0,0.5138888888888888,0.0,0.5138888888888888,0.0
pretrained,0,exact_r1,exact,query_direction_type,matched_negative,1,72,0.0,0.5277777777777778,0.0,0.5277777777777778,0.0
pretrained,0,exact_r1,exact,query_distance_type,visible_5,1,48,0.0,0.6041666666666666,0.0,0.6041666666666666,0.0
pretrained,0,exact_r1,exact,query_distance_type,visible_6,1,38,0.0,0.34210526315789475,0.0,0.6578947368421053,0.0
pretrained,0,exact_r1,exact,query_distance_type,visible_7,1,58,0.0,0.5689655172413793,0.0,0.5689655172413793,0.0
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_5,1,24,0.0,0.5833333333333334,0.0,0.5833333333333334,0.0
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_6,1,19,0.0,0.2631578947368421,0.0,0.736842105263158,0.0
pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_7,1,29,0.0,0.6206896551724138,0.0,0.6206896551724138,0.0
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_5,1,24,0.0,0.625,0.0,0.625,0.0
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_6,1,19,0.0,0.42105263157894735,0.0,0.5789473684210527,0.0
pretrained,0,exact_r1,exact,query_type,matched_negative_visible_7,1,29,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0
pretrained,0,exact_r1,exact,relation_id,masked_balanced_triplet,1,144,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0
pretrained,0,exact_r1,exact,template_family_id,balanced_align,1,66,0.0,0.5454545454545454,0.0,0.5454545454545454,0.0
pretrained,0,exact_r1,exact,template_family_id,balanced_sync,1,78,0.0,0.5,0.0,0.5,0.0
pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_forward,1,38,0.0,0.5,0.0,0.5,0.0
pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_reverse,1,28,0.0,0.6071428571428571,0.0,0.6071428571428571,0.0
pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_forward,1,38,0.0,0.42105263157894735,0.0,0.5789473684210527,0.0
pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_reverse,1,40,0.0,0.575,0.0,0.575,0.0
