run_seed,variant_name,layer_index,probe_name,probe_family,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
19,pretrained,6,exact_r16,exact,16,12386,0.6716666666666666,0.5486111111111112,0.5486111111111112
19,pretrained,6,exact_r64,exact,64,49538,0.685,0.5694444444444444,0.5694444444444444
19,pretrained,6,pairwise,pairwise,64,401986,0.9983333333333333,0.5763888888888888,0.5763888888888888
19,pretrained,6,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.985,0.5763888888888888,0.5763888888888888
19,pretrained,6,triadic,triadic,87,401246,0.9816666666666667,0.6041666666666666,0.6041666666666666
19,pretrained,7,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,7,exact_r1,exact,1,776,0.5958333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,7,exact_r2,exact,2,1550,0.6591666666666667,0.5277777777777778,0.5277777777777778
19,pretrained,7,exact_r4,exact,4,3098,0.6558333333333334,0.5347222222222222,0.5347222222222222
19,pretrained,7,exact_r8,exact,8,6194,0.6708333333333333,0.5486111111111112,0.5486111111111112
19,pretrained,7,exact_r16,exact,16,12386,0.6791666666666667,0.5138888888888888,0.5138888888888888
19,pretrained,7,exact_r64,exact,64,49538,0.6816666666666666,0.5277777777777778,0.5277777777777778
19,pretrained,7,pairwise,pairwise,64,401986,0.9983333333333333,0.5416666666666666,0.5416666666666666
19,pretrained,7,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,1.0,0.5347222222222222,0.5347222222222222
19,pretrained,7,triadic,triadic,87,401246,0.9958333333333333,0.6111111111111112,0.6111111111111112
19,pretrained,8,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,8,exact_r1,exact,1,776,0.6083333333333333,0.5,0.5
19,pretrained,8,exact_r2,exact,2,1550,0.6625,0.5,0.5
19,pretrained,8,exact_r4,exact,4,3098,0.6683333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,8,exact_r8,exact,8,6194,0.6775,0.5138888888888888,0.5138888888888888
19,pretrained,8,exact_r16,exact,16,12386,0.6841666666666667,0.5277777777777778,0.5277777777777778
19,pretrained,8,exact_r64,exact,64,49538,0.7008333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,8,pairwise,pairwise,64,401986,1.0,0.5763888888888888,0.5763888888888888
19,pretrained,8,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9808333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,8,triadic,triadic,87,401246,0.9991666666666666,0.5763888888888888,0.5763888888888888
19,pretrained,9,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,9,exact_r1,exact,1,776,0.6058333333333333,0.5138888888888888,0.5138888888888888
19,pretrained,9,exact_r2,exact,2,1550,0.6591666666666667,0.5069444444444444,0.5069444444444444
19,pretrained,9,exact_r4,exact,4,3098,0.6783333333333333,0.5069444444444444,0.5069444444444444
19,pretrained,9,exact_r8,exact,8,6194,0.6925,0.5208333333333334,0.5208333333333334
19,pretrained,9,exact_r16,exact,16,12386,0.6933333333333334,0.5277777777777778,0.5277777777777778
19,pretrained,9,exact_r64,exact,64,49538,0.6883333333333334,0.5277777777777778,0.5277777777777778
19,pretrained,9,pairwise,pairwise,64,401986,1.0,0.4861111111111111,0.5138888888888888
19,pretrained,9,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,1.0,0.5416666666666666,0.5416666666666666
19,pretrained,9,triadic,triadic,87,401246,0.9941666666666666,0.5694444444444444,0.5694444444444444
19,pretrained,10,query_only,query_only,64,1538,0.5,0.5,0.5
