run_seed,variant_name,layer_index,probe_name,probe_family,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
7,pretrained,5,exact_r2,exact,2,1550,0.645,0.5138888888888888,0.5138888888888888
7,pretrained,5,exact_r4,exact,4,3098,0.6616666666666666,0.4583333333333333,0.5416666666666667
7,pretrained,5,exact_r8,exact,8,6194,0.6766666666666666,0.5347222222222222,0.5347222222222222
7,pretrained,5,exact_r16,exact,16,12386,0.68,0.5,0.5
7,pretrained,5,exact_r64,exact,64,49538,0.665,0.4791666666666667,0.5208333333333333
7,pretrained,5,pairwise,pairwise,64,401986,0.9991666666666666,0.5555555555555556,0.5555555555555556
7,pretrained,5,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.9983333333333333,0.5277777777777778,0.5277777777777778
7,pretrained,5,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,1.0,0.5555555555555556,0.5555555555555556
7,pretrained,5,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9933333333333333,0.6388888888888888,0.6388888888888888
7,pretrained,5,triadic,triadic,87,401246,0.9933333333333333,0.6319444444444444,0.6319444444444444
7,pretrained,6,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,6,exact_r1,exact,1,776,0.6133333333333333,0.5208333333333334,0.5208333333333334
7,pretrained,6,exact_r2,exact,2,1550,0.66,0.5,0.5
7,pretrained,6,exact_r4,exact,4,3098,0.6733333333333333,0.4791666666666667,0.5208333333333333
7,pretrained,6,exact_r8,exact,8,6194,0.675,0.5069444444444444,0.5069444444444444
7,pretrained,6,exact_r16,exact,16,12386,0.6741666666666667,0.4930555555555556,0.5069444444444444
7,pretrained,6,exact_r64,exact,64,49538,0.6666666666666666,0.5,0.5
7,pretrained,6,pairwise,pairwise,64,401986,1.0,0.5694444444444444,0.5694444444444444
7,pretrained,6,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,1.0,0.5902777777777778,0.5902777777777778
7,pretrained,6,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.9958333333333333,0.5138888888888888,0.5138888888888888
7,pretrained,6,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9516666666666667,0.6666666666666666,0.6666666666666666
7,pretrained,6,triadic,triadic,87,401246,0.9875,0.625,0.625
7,pretrained,7,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,7,exact_r1,exact,1,776,0.62,0.5625,0.5625
7,pretrained,7,exact_r2,exact,2,1550,0.6575,0.5763888888888888,0.5763888888888888
7,pretrained,7,exact_r4,exact,4,3098,0.6741666666666667,0.5,0.5
7,pretrained,7,exact_r8,exact,8,6194,0.6716666666666666,0.4444444444444444,0.5555555555555556
7,pretrained,7,exact_r16,exact,16,12386,0.6816666666666666,0.5069444444444444,0.5069444444444444
7,pretrained,7,exact_r64,exact,64,49538,0.6641666666666667,0.4861111111111111,0.5138888888888888
7,pretrained,7,pairwise,pairwise,64,401986,0.9983333333333333,0.5277777777777778,0.5277777777777778
7,pretrained,7,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.9991666666666666,0.5486111111111112,0.5486111111111112
7,pretrained,7,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.9983333333333333,0.5555555555555556,0.5555555555555556
7,pretrained,7,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.995,0.6041666666666666,0.6041666666666666
7,pretrained,7,triadic,triadic,87,401246,0.9925,0.6458333333333334,0.6458333333333334
7,pretrained,8,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,8,exact_r1,exact,1,776,0.6333333333333333,0.4375,0.5625
7,pretrained,8,exact_r2,exact,2,1550,0.6758333333333333,0.4375,0.5625
7,pretrained,8,exact_r4,exact,4,3098,0.6775,0.5138888888888888,0.5138888888888888
7,pretrained,8,exact_r8,exact,8,6194,0.6858333333333333,0.4861111111111111,0.5138888888888888
7,pretrained,8,exact_r16,exact,16,12386,0.6883333333333334,0.4652777777777778,0.5347222222222222
7,pretrained,8,exact_r64,exact,64,49538,0.67,0.4583333333333333,0.5416666666666667
7,pretrained,8,pairwise,pairwise,64,401986,1.0,0.5,0.5
7,pretrained,8,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.98,0.5347222222222222,0.5347222222222222
7,pretrained,8,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,1.0,0.5833333333333334,0.5833333333333334
7,pretrained,8,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9833333333333333,0.6180555555555556,0.6180555555555556
7,pretrained,8,triadic,triadic,87,401246,0.9875,0.6388888888888888,0.6388888888888888
7,pretrained,9,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,9,exact_r1,exact,1,776,0.6225,0.5138888888888888,0.5138888888888888
7,pretrained,9,exact_r2,exact,2,1550,0.6775,0.5208333333333334,0.5208333333333334
7,pretrained,9,exact_r4,exact,4,3098,0.6833333333333333,0.4583333333333333,0.5416666666666667
7,pretrained,9,exact_r8,exact,8,6194,0.6825,0.4652777777777778,0.5347222222222222
7,pretrained,9,exact_r16,exact,16,12386,0.6933333333333334,0.4791666666666667,0.5208333333333333
7,pretrained,9,exact_r64,exact,64,49538,0.685,0.4791666666666667,0.5208333333333333
7,pretrained,9,pairwise,pairwise,64,401986,1.0,0.6111111111111112,0.6111111111111112
7,pretrained,9,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.9983333333333333,0.5347222222222222,0.5347222222222222
7,pretrained,9,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,1.0,0.5277777777777778,0.5277777777777778
7,pretrained,9,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.98,0.625,0.625
