run_seed,variant_name,layer_index,probe_name,exactness_mean,curl_energy_mean,exactness_positional_mean,curl_energy_positional_mean
17,pretrained,0,exact,1.0,7.726665308619799e-16,1.0,1.6847464387703998e-15
17,pretrained,0,pairwise,0.9033352885809209,0.28999412587533396,0.9280331879854202,0.2159004422913616
17,pretrained,1,exact,1.0,8.218244241588477e-16,1.0,1.8262688682984994e-15
17,pretrained,1,pairwise,0.9025072500937514,0.2924782550439381,0.9091673373348184,0.27249798747005927
17,pretrained,2,exact,1.0,7.578614588820603e-16,1.0,1.7949254390540416e-15
17,pretrained,2,pairwise,0.9516202633579572,0.14513920452575096,0.9569615233275626,0.12911543667238826
17,pretrained,3,exact,1.0,7.695196681729455e-16,1.0,1.6758009091090141e-15
17,pretrained,3,pairwise,0.9491186307536231,0.1526441104417447,0.9501601606607437,0.1495195092211361
17,pretrained,4,exact,1.0,7.67273411610718e-16,1.0,1.7827126547932767e-15
17,pretrained,4,pairwise,0.9675201752947437,0.0974394768854836,0.9679356784456306,0.09619296136629095
17,pretrained,5,exact,1.0,7.919364695682857e-16,1.0,1.60143174647706e-15
17,pretrained,5,pairwise,0.9800381904674901,0.0598854271035331,0.9811303983959887,0.05660880732304779
17,pretrained,6,exact,1.0,7.69214785299408e-16,1.0,1.600835110292121e-15
17,pretrained,6,pairwise,0.9610913462109036,0.11672595939307939,0.9621956191129155,0.11341313511851088
17,pretrained,7,exact,1.0,7.553421141551359e-16,1.0,1.9339183723271038e-15
17,pretrained,7,pairwise,0.969207468132178,0.09237759567460874,0.9713326295216879,0.08600211256432683
17,pretrained,8,exact,1.0,7.039104639872591e-16,1.0,1.7570650070613094e-15
17,pretrained,8,pairwise,0.9657856143183179,0.10264316384968374,0.968275349173281,0.09517396075292102
17,pretrained,9,exact,1.0,7.089067619512124e-16,1.0,1.730920187752887e-15
17,pretrained,9,pairwise,0.9802407353288598,0.059277792414326944,0.9819000441994932,0.054299859040232455
17,pretrained,10,exact,1.0,6.617034756588944e-16,1.0,1.8249418713373453e-15
17,pretrained,10,pairwise,0.981418756975068,0.0557437331452901,0.9818822911216153,0.05435311255455923
17,pretrained,11,exact,1.0,6.499876242985121e-16,1.0,1.7618806889896498e-15
17,pretrained,11,pairwise,0.9742188610964351,0.07734340676446057,0.9785813974837462,0.06425580928043928
17,pretrained,12,exact,1.0,8.077499418084458e-16,1.0,1.8013447892708284e-15
17,pretrained,12,pairwise,0.951155214673943,0.14653435652629318,0.9602985411054559,0.11910437941211664
17,random_control,0,exact,1.0,7.687540331066888e-16,1.0,1.8869223065540653e-15
17,random_control,0,pairwise,0.9494092207815912,0.15177233374884558,0.9091952360338635,0.27241429647741217
17,random_control,1,exact,1.0,7.631247315485756e-16,1.0,2.1272713206743133e-15
17,random_control,1,pairwise,0.9298826671308942,0.21035199159167758,0.8875966514978144,0.3372100444070788
17,random_control,2,exact,1.0,6.975604596758996e-16,1.0,2.2296923020777536e-15
17,random_control,2,pairwise,0.9422960484193431,0.17311185389472586,0.884836291273435,0.3454911199999818
17,random_control,3,exact,1.0,7.67890026321356e-16,1.0,2.0906311385361384e-15
17,random_control,3,pairwise,0.9525497750275664,0.14235068299523038,0.9508878149920039,0.14733656279794458
17,random_control,4,exact,1.0,7.182006464117747e-16,1.0,2.0950557537348286e-15
17,random_control,4,pairwise,0.9458646488686403,0.1624060563254817,0.9328628364536498,0.2014114922623978
17,random_control,5,exact,1.0,6.866139879250095e-16,1.0,2.026578868818423e-15
17,random_control,5,pairwise,0.9286598306563165,0.214020519612758,0.9110252911018001,0.26692413435214096
17,random_control,6,exact,1.0,7.421526129493146e-16,1.0,1.984985998275597e-15
17,random_control,6,pairwise,0.939142612947358,0.1825721629558959,0.9211202772955099,0.23663917211686364
17,random_control,7,exact,1.0,7.268423840670329e-16,1.0,2.2061950912249455e-15
17,random_control,7,pairwise,0.9449578171802892,0.16512653533411342,0.9422731010450257,0.1731806963184176
17,random_control,8,exact,1.0,7.321260643821673e-16,1.0,2.069651583858898e-15
17,random_control,8,pairwise,0.9568966126276387,0.12931017024837071,0.9644925085206827,0.10652247006590995
17,random_control,9,exact,1.0,7.046673945859754e-16,1.0,2.0070055123592623e-15
17,random_control,9,pairwise,0.9239504502879249,0.2281486495048739,0.9163266904652119,0.2510199290376881
17,random_control,10,exact,1.0,6.515113565179211e-16,1.0,1.7015587964879416e-15
17,random_control,10,pairwise,0.943278024593989,0.17016592331250044,0.9350088872015476,0.19497333815282522
17,random_control,11,exact,1.0,6.429740165925015e-16,1.0,1.845618745555384e-15
17,random_control,11,pairwise,0.9442549550698863,0.16723513306108848,0.9416489257580705,0.17505323504964407
17,random_control,12,exact,1.0,6.328328631624835e-16,1.0,1.6138996586056086e-15
17,random_control,12,pairwise,0.9577294149332576,0.12681175355505225,0.9491980067557759,0.15240598844239786
